f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc35MPa = 53.73 MPa, ecc35MPa = 0.0074
f'cc42MPa = 61.26 MPa, ecc42MPa = 0.0066
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
2.387500e-03 1.422713e+04
2.400000e-03 1.424149e+04
2.412500e-03 1.425558e+04
2.425000e-03 1.426941e+04
2.437500e-03 1.428298e+04
2.450000e-03 1.429627e+04
2.462500e-03 1.430928e+04
2.475000e-03 1.432201e+04
2.487500e-03 1.433446e+04
2.500000e-03 1.434662e+04
2.512500e-03 1.435849e+04
2.525000e-03 1.437007e+04
2.537500e-03 1.438134e+04
2.550000e-03 1.439232e+04
2.562500e-03 1.440299e+04
2.575000e-03 1.441336e+04
2.587500e-03 1.442342e+04
2.600000e-03 1.443317e+04
2.612500e-03 1.444260e+04
2.625000e-03 1.445173e+04
2.637500e-03 1.446054e+04
2.650000e-03 1.446904e+04
2.662500e-03 1.447722e+04
2.675000e-03 1.448508e+04
2.687500e-03 1.449263e+04
2.700000e-03 1.449987e+04
2.712500e-03 1.450679e+04
2.725000e-03 1.451340e+04
2.737500e-03 1.451970e+04
2.750000e-03 1.452568e+04
2.762500e-03 1.453136e+04
2.775000e-03 1.453673e+04
2.787500e-03 1.454179e+04
2.800000e-03 1.454656e+04
2.812500e-03 1.455102e+04
2.825000e-03 1.455518e+04
2.837500e-03 1.455905e+04
2.850000e-03 1.456263e+04
2.862500e-03 1.456592e+04
2.875000e-03 1.456892e+04
2.887500e-03 1.457165e+04
2.900000e-03 1.457409e+04
2.912500e-03 1.457627e+04
2.925000e-03 1.457817e+04
2.937500e-03 1.457981e+04
2.950000e-03 1.458118e+04
2.962500e-03 1.458230e+04
2.975000e-03 1.458316e+04
2.987500e-03 1.458377e+04
3.000000e-03 1.458414e+04
3.012500e-03 1.458427e+04
3.025000e-03 1.458416e+04
3.037500e-03 1.458382e+04
3.050000e-03 1.458325e+04
3.062500e-03 1.458245e+04
3.075000e-03 1.458144e+04
3.087500e-03 1.458021e+04
3.100000e-03 1.457877e+04
3.112500e-03 1.457711e+04
3.125000e-03 1.457526e+04
3.137500e-03 1.457321e+04
3.150000e-03 1.457096e+04
3.162500e-03 1.456851e+04
3.175000e-03 1.456588e+04
3.187500e-03 1.456307e+04
3.200000e-03 1.456007e+04
3.212500e-03 1.455690e+04
3.225000e-03 1.455355e+04
3.237500e-03 1.455003e+04
3.250000e-03 1.454634e+04
3.262500e-03 1.454249e+04
3.275000e-03 1.453848e+04
3.287500e-03 1.453431e+04
3.300000e-03 1.452999e+04
3.312500e-03 1.452551e+04
3.325000e-03 1.452088e+04
3.337500e-03 1.451611e+04
3.350000e-03 1.451119e+04
3.362500e-03 1.450613e+04
3.375000e-03 1.450094e+04
3.387500e-03 1.449560e+04
3.400000e-03 1.449013e+04
3.412500e-03 1.448453e+04
3.425000e-03 1.447880e+04
3.437500e-03 1.447295e+04
3.450000e-03 1.446696e+04
3.462500e-03 1.446086e+04
3.475000e-03 1.445463e+04
3.487500e-03 1.444828e+04
3.500000e-03 1.444182e+04
3.512500e-03 1.443523e+04
3.525000e-03 1.442854e+04
3.537500e-03 1.442173e+04
3.550000e-03 1.441481e+04
3.562500e-03 1.440778e+04
3.575000e-03 1.440064e+04
3.587500e-03 1.439339e+04
3.600000e-03 1.438604e+04
3.612500e-03 1.437859e+04
3.625000e-03 1.437103e+04
3.637500e-03 1.436337e+04
3.650000e-03 1.435561e+04
3.662500e-03 1.434775e+04
3.675000e-03 1.433979e+04
3.687500e-03 1.433173e+04
3.700000e-03 1.432358e+04
3.712500e-03 1.431533e+04
3.725000e-03 1.430699e+04
3.737500e-03 1.429855e+04
3.750000e-03 1.429002e+04
3.762500e-03 1.428140e+04
3.775000e-03 1.427269e+04
3.787500e-03 1.426388e+04
3.800000e-03 1.425499e+04
3.812500e-03 1.424601e+04
3.825000e-03 1.423694e+04
3.837500e-03 1.422778e+04
3.850000e-03 1.421854e+04
3.862500e-03 1.420921e+04
3.875000e-03 1.419979e+04
3.887500e-03 1.419029e+04
3.900000e-03 1.418070e+04
3.912500e-03 1.417103e+04
3.925000e-03 1.416128e+04
3.937500e-03 1.415144e+04
3.950000e-03 1.414152e+04
3.962500e-03 1.413152e+04
3.975000e-03 1.412144e+04
3.987500e-03 1.411127e+04
4.000000e-03 1.410103e+04
4.012500e-03 1.412018e+04
4.025000e-03 1.413925e+04
4.037500e-03 1.415824e+04
4.050000e-03 1.417715e+04
4.062500e-03 1.419598e+04
4.075000e-03 1.421474e+04
4.087500e-03 1.423341e+04
4.100000e-03 1.425201e+04
4.112500e-03 1.427053e+04
4.125000e-03 1.428897e+04
4.137500e-03 1.430734e+04
4.150000e-03 1.432562e+04
4.162500e-03 1.434383e+04
4.175000e-03 1.436197e+04
