curvature_1_per_m,curvature_1_per_mm,moment_Nmm
-1.826015574473468858e-20,-1.826015574473468962e-23,7.275957614183425903e-11
1.123304830891563768e-03,1.123304830891563856e-06,6.745572657098815544e+05
2.246609661783127536e-03,2.246609661783127712e-06,1.069440165172097273e+06
3.369914492674691738e-03,3.369914492674691568e-06,1.284642064124697354e+06
4.493219323566255072e-03,4.493219323566255424e-06,1.447474468494189205e+06
5.616524154457819273e-03,5.616524154457819280e-06,1.583784699329993688e+06
6.739828985349383475e-03,6.739828985349383136e-06,1.703152056720481021e+06
7.863133816240947677e-03,7.863133816240947839e-06,1.794010348960279254e+06
8.986438647132511878e-03,8.986438647132512542e-06,1.844478435405689292e+06
1.010974347802407781e-02,1.010974347802407725e-05,1.864525242167627439e+06
1.123304830891564028e-02,1.123304830891564025e-05,1.867038060030878754e+06
1.235635313980720275e-02,1.235635313980720326e-05,1.849815831356654642e+06
1.347965797069876695e-02,1.347965797069876627e-05,1.812547753166373353e+06
1.460296280159032942e-02,1.460296280159032928e-05,1.753134527800396085e+06
1.572626763248189188e-02,1.572626763248189229e-05,1.737071223707015859e+06
1.684957246337345435e-02,1.684957246337345530e-05,1.728732035839923192e+06
1.797287729426501682e-02,1.797287729426501831e-05,1.742249660361473914e+06
1.909618212515658275e-02,1.909618212515658132e-05,1.757013008722158382e+06
2.021948695604814522e-02,2.021948695604814433e-05,1.769982468164297054e+06
2.134279178693970769e-02,2.134279178693970734e-05,1.780552172705685487e+06
2.246609661783127015e-02,2.246609661783127034e-05,1.791091746797610074e+06
2.358940144872283262e-02,2.358940144872283335e-05,1.799924140566437272e+06
2.471270627961439509e-02,2.471270627961439636e-05,1.807333617354018847e+06
2.583601111050596102e-02,2.583601111050595937e-05,1.812807665672443109e+06
2.695931594139752349e-02,2.695931594139752238e-05,1.817790053273554659e+06
2.808262077228908596e-02,2.808262077228908539e-05,1.822136392627498601e+06
2.920592560318064843e-02,2.920592560318064840e-05,1.825793252954025753e+06
3.032923043407221089e-02,3.032923043407221141e-05,1.827427654173871968e+06
3.145253526496377683e-02,3.145253526496377780e-05,1.827881865890741814e+06
3.257584009585533930e-02,3.257584009585534081e-05,1.828913831617193995e+06
3.369914492674690176e-02,3.369914492674690382e-05,1.829974119741755771e+06
3.482244975763846423e-02,3.482244975763846683e-05,1.830606993067719974e+06
3.594575458853002670e-02,3.594575458853002984e-05,1.829829709287746809e+06
3.706905941942159610e-02,3.706905941942159285e-05,1.827916940064176917e+06
3.819236425031315857e-02,3.819236425031315586e-05,1.825426003074472537e+06
3.931566908120472104e-02,3.931566908120471887e-05,1.822277849584032549e+06
4.043897391209628350e-02,4.043897391209628188e-05,1.818877992018399294e+06
4.156227874298784597e-02,4.156227874298784489e-05,1.815430425902499584e+06
4.268558357387940844e-02,4.268558357387940789e-05,1.809864725322001381e+06
4.380888840477097090e-02,4.380888840477097090e-05,1.803669397688940400e+06
4.493219323566253337e-02,4.493219323566253391e-05,1.797232608074806398e+06
4.605549806655409584e-02,4.605549806655409692e-05,1.790334187535027973e+06
4.717880289744565830e-02,4.717880289744565993e-05,1.782934775138076628e+06
4.830210772833722077e-02,4.830210772833722294e-05,1.774981142313983524e+06
