Displacement_mm,Axial_Force_N
-5.000000e-07,9.564620e+03
-1.000000e-06,1.912770e+04
-1.500000e-06,2.868920e+04
-2.000000e-06,3.824920e+04
-2.500000e-06,4.780770e+04
-3.000000e-06,5.736460e+04
-3.500000e-06,6.692000e+04
-4.000000e-06,7.647390e+04
-4.500000e-06,8.602620e+04
-5.000000e-06,9.557690e+04
-5.500000e-06,1.051260e+05
-6.000000e-06,1.146740e+05
-6.500000e-06,1.242200e+05
-7.000000e-06,1.337650e+05
-7.500000e-06,1.433080e+05
-8.000000e-06,1.528490e+05
-8.500000e-06,1.623890e+05
-9.000000e-06,1.719280e+05
-9.500000e-06,1.814640e+05
-1.000000e-05,1.910000e+05
-1.050000e-05,2.005340e+05
-1.100000e-05,2.100660e+05
-1.150000e-05,2.195970e+05
-1.200000e-05,2.291260e+05
-1.250000e-05,2.386540e+05
-1.300000e-05,2.481800e+05
-1.350000e-05,2.577040e+05
-1.400000e-05,2.672270e+05
-1.450000e-05,2.767490e+05
-1.500000e-05,2.862690e+05
-1.550000e-05,2.957870e+05
-1.600000e-05,3.053040e+05
-1.650000e-05,3.148190e+05
-1.700000e-05,3.243330e+05
-1.750000e-05,3.338450e+05
-1.800000e-05,3.433560e+05
-1.850000e-05,3.528650e+05
-1.900000e-05,3.623730e+05
-1.950000e-05,3.718790e+05
-2.000000e-05,3.813840e+05
-2.050000e-05,3.908870e+05
-2.100000e-05,4.003880e+05
-2.150000e-05,4.098880e+05
-2.200000e-05,4.193860e+05
-2.250000e-05,4.288830e+05
-2.300000e-05,4.383790e+05
-2.350000e-05,4.478720e+05
-2.400000e-05,4.573650e+05
-2.450000e-05,4.668550e+05
-2.500000e-05,4.763450e+05
-2.550000e-05,4.858320e+05
-2.600000e-05,4.953180e+05
-2.650000e-05,5.048030e+05
-2.700000e-05,5.142860e+05
-2.750000e-05,5.237670e+05
-2.800000e-05,5.332470e+05
-2.850000e-05,5.427260e+05
-2.900000e-05,5.522020e+05
-2.950000e-05,5.616780e+05
-3.000000e-05,5.711510e+05
-3.050000e-05,5.806240e+05
-3.100000e-05,5.900940e+05
-3.150000e-05,5.995630e+05
-3.200000e-05,6.090310e+05
-3.250000e-05,6.184970e+05
-3.300000e-05,6.279620e+05
-3.350000e-05,6.374250e+05
-3.400000e-05,6.468860e+05
-3.450000e-05,6.563460e+05
-3.500000e-05,6.658040e+05
-3.550000e-05,6.752610e+05
