Displacement_mm,Axial_Force_N
5.000000e-07,4.009660e+03
1.000000e-06,8.018780e+03
1.500000e-06,1.202730e+04
2.000000e-06,1.603530e+04
2.500000e-06,2.004280e+04
3.000000e-06,2.404970e+04
3.500000e-06,2.805610e+04
4.000000e-06,3.206190e+04
4.500000e-06,3.606710e+04
5.000000e-06,4.007180e+04
5.500000e-06,4.407590e+04
6.000000e-06,4.807950e+04
6.500000e-06,5.208260e+04
7.000000e-06,5.608510e+04
7.500000e-06,6.008700e+04
8.000000e-06,6.408840e+04
8.500000e-06,6.808920e+04
9.000000e-06,7.208950e+04
9.500000e-06,7.608920e+04
1.000000e-05,8.008840e+04
1.050000e-05,8.408700e+04
1.100000e-05,8.808510e+04
1.150000e-05,9.208260e+04
1.200000e-05,9.607960e+04
1.250000e-05,1.000760e+05
1.300000e-05,1.040720e+05
1.350000e-05,1.080670e+05
1.400000e-05,1.120620e+05
1.450000e-05,1.160560e+05
1.500000e-05,1.200500e+05
1.550000e-05,1.240430e+05
1.600000e-05,1.280350e+05
1.650000e-05,1.320270e+05
1.700000e-05,1.360190e+05
1.750000e-05,1.400100e+05
1.800000e-05,1.440000e+05
1.850000e-05,1.479900e+05
1.900000e-05,1.519790e+05
1.950000e-05,1.559680e+05
2.000000e-05,1.599560e+05
2.050000e-05,1.639440e+05
2.100000e-05,1.679310e+05
2.150000e-05,1.719170e+05
2.200000e-05,1.759030e+05
2.250000e-05,1.798880e+05
2.300000e-05,1.838730e+05
2.350000e-05,1.878570e+05
2.400000e-05,1.918410e+05
2.450000e-05,1.958240e+05
2.500000e-05,1.998070e+05
2.550000e-05,2.037890e+05
2.600000e-05,2.077710e+05
2.650000e-05,2.117520e+05
2.700000e-05,2.157320e+05
2.750000e-05,2.197120e+05
2.800000e-05,2.236910e+05
2.850000e-05,2.276700e+05
2.900000e-05,2.316480e+05
2.950000e-05,2.356260e+05
3.000000e-05,2.396030e+05
3.050000e-05,2.435790e+05
3.100000e-05,2.475550e+05
3.150000e-05,2.515310e+05
3.200000e-05,2.555060e+05
3.250000e-05,2.594800e+05
3.300000e-05,2.634540e+05
3.350000e-05,2.674270e+05
3.400000e-05,2.714000e+05
3.450000e-05,2.753720e+05
3.500000e-05,2.793430e+05
3.550000e-05,2.833140e+05
3.600000e-05,2.872850e+05
3.650000e-05,2.912550e+05
3.700000e-05,2.952240e+05
3.750000e-05,2.991930e+05
3.800000e-05,3.031610e+05
3.850000e-05,3.071290e+05
3.900000e-05,3.110960e+05
3.950000e-05,3.150630e+05
4.000000e-05,3.190290e+05
4.050000e-05,3.229940e+05
4.100000e-05,3.269590e+05
4.150000e-05,3.309240e+05
4.200000e-05,3.348870e+05
4.250000e-05,3.388510e+05
4.300000e-05,3.428140e+05
4.350000e-05,3.467760e+05
4.400000e-05,3.507370e+05
4.450000e-05,3.546980e+05
4.500000e-05,3.586590e+05
4.550000e-05,3.626190e+05
4.600000e-05,3.665780e+05
4.650000e-05,3.705370e+05
4.700000e-05,3.744960e+05
4.750000e-05,3.784530e+05
4.800000e-05,3.824110e+05
4.850000e-05,3.863670e+05
4.900000e-05,3.903230e+05
4.950000e-05,3.942790e+05
5.000000e-05,3.982340e+05
5.050000e-05,4.021880e+05
5.100000e-05,4.061420e+05
5.150000e-05,4.100960e+05
5.200000e-05,4.140480e+05
5.250000e-05,4.180010e+05
5.300000e-05,4.219520e+05
5.350000e-05,4.259040e+05
5.400000e-05,4.298540e+05
5.450000e-05,4.338040e+05
5.500000e-05,4.377540e+05
5.550000e-05,4.417030e+05
5.600000e-05,4.456510e+05
5.650000e-05,4.495990e+05
5.700000e-05,4.535460e+05
5.750000e-05,4.574930e+05
5.800000e-05,4.614390e+05
5.850000e-05,4.653850e+05
5.900000e-05,4.693300e+05
5.950000e-05,4.732740e+05
6.000000e-05,4.772180e+05
6.050000e-05,4.811620e+05
6.100000e-05,4.851050e+05
6.150000e-05,4.890470e+05
6.200000e-05,4.929890e+05
6.250000e-05,4.969300e+05
6.300000e-05,5.008710e+05
6.350000e-05,5.048110e+05
6.400000e-05,5.087500e+05
6.450000e-05,5.126890e+05
6.500000e-05,5.166280e+05
6.550000e-05,5.205660e+05
6.600000e-05,5.245030e+05
6.650000e-05,5.284400e+05
6.700000e-05,5.323760e+05
6.750000e-05,5.363120e+05
6.800000e-05,5.402470e+05
6.850000e-05,5.441810e+05
6.900000e-05,5.481150e+05
6.950000e-05,5.520490e+05
7.000000e-05,5.559820e+05
7.050000e-05,5.599140e+05
7.100000e-05,5.638460e+05
7.150000e-05,5.677770e+05
7.200000e-05,5.717080e+05
7.250000e-05,5.756380e+05
7.300000e-05,5.795680e+05
7.350000e-05,5.834970e+05
7.400000e-05,5.874250e+05
7.450000e-05,5.913530e+05
7.500000e-05,5.952810e+05
7.550000e-05,5.992080e+05
7.600000e-05,6.031340e+05
7.650000e-05,6.070600e+05
7.700000e-05,6.109850e+05
7.750000e-05,6.149100e+05
7.800000e-05,6.188340e+05
7.850000e-05,6.227570e+05
7.900000e-05,6.266800e+05
7.950000e-05,6.306030e+05
8.000000e-05,6.345250e+05
8.050000e-05,6.384460e+05
8.100000e-05,6.423670e+05
8.150000e-05,6.462870e+05
8.200000e-05,6.502070e+05
8.250000e-05,6.541260e+05
8.300000e-05,6.580440e+05
8.350000e-05,6.619620e+05
8.400000e-05,6.658800e+05
8.450000e-05,6.697970e+05
8.500000e-05,6.737130e+05
8.550000e-05,6.776290e+05
8.600000e-05,6.815440e+05
8.650000e-05,6.854590e+05
8.700000e-05,6.893730e+05
8.750000e-05,6.932870e+05
8.800000e-05,6.972000e+05
8.850000e-05,7.011120e+05
8.900000e-05,7.050240e+05
8.950000e-05,7.089360e+05
9.000000e-05,7.128470e+05
9.050000e-05,7.167570e+05
9.100000e-05,7.206670e+05
9.150000e-05,7.245760e+05
9.200000e-05,7.284840e+05
9.250000e-05,7.323930e+05
9.300000e-05,7.363000e+05
9.350000e-05,7.402070e+05
