Displacement_mm,Axial_Force_N
9.950000e-05,1.594600e+06
1.000000e-04,1.602510e+06
1.005000e-04,1.610420e+06
1.010000e-04,1.618320e+06
1.015000e-04,1.626230e+06
1.020000e-04,1.634130e+06
1.025000e-04,1.642040e+06
1.030000e-04,1.649940e+06
1.035000e-04,1.657840e+06
1.040000e-04,1.665740e+06
1.045000e-04,1.673640e+06
1.050000e-04,1.681540e+06
1.055000e-04,1.689430e+06
1.060000e-04,1.697330e+06
1.065000e-04,1.705220e+06
1.070000e-04,1.713120e+06
1.075000e-04,1.721010e+06
1.080000e-04,1.728900e+06
1.085000e-04,1.736790e+06
1.090000e-04,1.744680e+06
1.095000e-04,1.752570e+06
1.100000e-04,1.760460e+06
1.105000e-04,1.768340e+06
1.110000e-04,1.776230e+06
1.115000e-04,1.784110e+06
1.120000e-04,1.792000e+06
1.125000e-04,1.799880e+06
1.130000e-04,1.807760e+06
1.135000e-04,1.815640e+06
1.140000e-04,1.823520e+06
1.145000e-04,1.831400e+06
1.150000e-04,1.839270e+06
1.155000e-04,1.847150e+06
1.160000e-04,1.855020e+06
1.165000e-04,1.862900e+06
1.170000e-04,1.870770e+06
1.175000e-04,1.878640e+06
1.180000e-04,1.886510e+06
1.185000e-04,1.894380e+06
1.190000e-04,1.902250e+06
1.195000e-04,1.910120e+06
1.200000e-04,1.917990e+06
1.205000e-04,1.925850e+06
1.210000e-04,1.933720e+06
1.215000e-04,1.941580e+06
1.220000e-04,1.949440e+06
1.225000e-04,1.957300e+06
1.230000e-04,1.965160e+06
1.235000e-04,1.973020e+06
1.240000e-04,1.980880e+06
1.245000e-04,1.988740e+06
1.250000e-04,1.996590e+06
1.255000e-04,2.004450e+06
1.260000e-04,2.012300e+06
1.265000e-04,2.020150e+06
1.270000e-04,2.028010e+06
1.275000e-04,2.035860e+06
1.280000e-04,2.043710e+06
1.285000e-04,2.051560e+06
1.290000e-04,2.059400e+06
1.295000e-04,2.067250e+06
1.300000e-04,2.075100e+06
1.305000e-04,2.082940e+06
1.310000e-04,2.090780e+06
1.315000e-04,2.098630e+06
1.320000e-04,2.106470e+06
1.325000e-04,2.114310e+06
1.330000e-04,2.122150e+06
1.335000e-04,2.129980e+06
1.340000e-04,2.137820e+06
1.345000e-04,2.145660e+06
1.350000e-04,2.153490e+06
1.355000e-04,2.161330e+06
1.360000e-04,2.169160e+06
1.365000e-04,2.176990e+06
1.370000e-04,2.184820e+06
1.375000e-04,2.192650e+06
1.380000e-04,2.200480e+06
1.385000e-04,2.208310e+06
1.390000e-04,2.216140e+06
1.395000e-04,2.223960e+06
1.400000e-04,2.231790e+06
1.405000e-04,2.239610e+06
1.410000e-04,2.247430e+06
1.415000e-04,2.255250e+06
1.420000e-04,2.263070e+06
1.425000e-04,2.270890e+06
1.430000e-04,2.278710e+06
1.435000e-04,2.286530e+06
1.440000e-04,2.294340e+06
1.445000e-04,2.302160e+06
1.450000e-04,2.309970e+06
1.455000e-04,2.317790e+06
1.460000e-04,2.325600e+06
1.465000e-04,2.333410e+06
1.470000e-04,2.341220e+06
1.475000e-04,2.349030e+06
1.480000e-04,2.356840e+06
1.485000e-04,2.364640e+06
1.490000e-04,2.372450e+06
1.495000e-04,2.380250e+06
1.500000e-04,2.388060e+06
1.505000e-04,2.395860e+06
1.510000e-04,2.403660e+06
1.515000e-04,2.411460e+06
1.520000e-04,2.419260e+06
1.525000e-04,2.427060e+06
1.530000e-04,2.434860e+06
1.535000e-04,2.442650e+06
1.540000e-04,2.450450e+06
1.545000e-04,2.458240e+06
1.550000e-04,2.466040e+06
1.555000e-04,2.473830e+06
1.560000e-04,2.481620e+06
1.565000e-04,2.489410e+06
1.570000e-04,2.497200e+06
1.575000e-04,2.504990e+06
1.580000e-04,2.512770e+06
1.585000e-04,2.520560e+06
1.590000e-04,2.528340e+06
1.595000e-04,2.536130e+06
1.600000e-04,2.543910e+06
1.605000e-04,2.551690e+06
1.610000e-04,2.559470e+06
1.615000e-04,2.567250e+06
1.620000e-04,2.575030e+06
1.625000e-04,2.582810e+06
1.630000e-04,2.590580e+06
1.635000e-04,2.598360e+06
1.640000e-04,2.606130e+06
1.645000e-04,2.613910e+06
1.650000e-04,2.621680e+06
1.655000e-04,2.629450e+06
1.660000e-04,2.637220e+06
1.665000e-04,2.644990e+06
1.670000e-04,2.652760e+06
1.675000e-04,2.660530e+06
1.680000e-04,2.668290e+06
1.685000e-04,2.676060e+06
1.690000e-04,2.683820e+06
1.695000e-04,2.691580e+06
1.700000e-04,2.699340e+06
1.705000e-04,2.707110e+06
1.710000e-04,2.714860e+06
1.715000e-04,2.722620e+06
1.720000e-04,2.730380e+06
1.725000e-04,2.738140e+06
1.730000e-04,2.745890e+06
1.735000e-04,2.753650e+06
1.740000e-04,2.761400e+06
1.745000e-04,2.769150e+06
1.750000e-04,2.776900e+06
1.755000e-04,2.784650e+06
1.760000e-04,2.792400e+06
1.765000e-04,2.800150e+06
1.770000e-04,2.807900e+06
1.775000e-04,2.815650e+06
1.780000e-04,2.823390e+06
1.785000e-04,2.831130e+06
1.790000e-04,2.838880e+06
1.795000e-04,2.846620e+06
1.800000e-04,2.854360e+06
1.805000e-04,2.862100e+06
1.810000e-04,2.869840e+06
1.815000e-04,2.877580e+06
1.820000e-04,2.885310e+06
1.825000e-04,2.893050e+06
1.830000e-04,2.900780e+06
1.835000e-04,2.908520e+06
1.840000e-04,2.916250e+06
1.845000e-04,2.923980e+06
1.850000e-04,2.931710e+06
1.855000e-04,2.939440e+06
1.860000e-04,2.947170e+06
1.865000e-04,2.954890e+06
1.870000e-04,2.962620e+06
1.875000e-04,2.970350e+06
1.880000e-04,2.978070e+06
1.885000e-04,2.985790e+06
1.890000e-04,2.993510e+06
1.895000e-04,3.001240e+06
1.900000e-04,3.008960e+06
1.905000e-04,3.016670e+06
1.910000e-04,3.024390e+06
1.915000e-04,3.032110e+06
1.920000e-04,3.039820e+06
1.925000e-04,3.047540e+06
1.930000e-04,3.055250e+06
1.935000e-04,3.062970e+06
1.940000e-04,3.070680e+06
1.945000e-04,3.078390e+06
1.950000e-04,3.086100e+06
1.955000e-04,3.093810e+06
1.960000e-04,3.101510e+06
1.965000e-04,3.109220e+06
1.970000e-04,3.116920e+06
1.975000e-04,3.124630e+06
1.980000e-04,3.132330e+06
1.985000e-04,3.140030e+06
1.990000e-04,3.147730e+06
1.995000e-04,3.155430e+06
2.000000e-04,3.163130e+06
2.005000e-04,3.170830e+06
2.010000e-04,3.178530e+06
2.015000e-04,3.186220e+06
2.020000e-04,3.193920e+06
2.025000e-04,3.201610e+06
2.030000e-04,3.209300e+06
2.035000e-04,3.217000e+06
2.040000e-04,3.224690e+06
2.045000e-04,3.232380e+06
2.050000e-04,3.240060e+06
2.055000e-04,3.247750e+06
2.060000e-04,3.255440e+06
2.065000e-04,3.263120e+06
2.070000e-04,3.270810e+06
2.075000e-04,3.278490e+06
2.080000e-04,3.286170e+06
2.085000e-04,3.293850e+06
2.090000e-04,3.301530e+06
2.095000e-04,3.309210e+06
2.100000e-04,3.316890e+06
2.105000e-04,3.324570e+06
2.110000e-04,3.332240e+06
2.115000e-04,3.339920e+06
2.120000e-04,3.347590e+06
2.125000e-04,3.355270e+06
2.130000e-04,3.362940e+06
2.135000e-04,3.370610e+06
2.140000e-04,3.378280e+06
2.145000e-04,3.385950e+06
2.150000e-04,3.393610e+06
2.155000e-04,3.401280e+06
2.160000e-04,3.408950e+06
2.165000e-04,3.416610e+06
2.170000e-04,3.424270e+06
2.175000e-04,3.431940e+06
2.180000e-04,3.439600e+06
2.185000e-04,3.447260e+06
2.190000e-04,3.454920e+06
2.195000e-04,3.462570e+06
2.200000e-04,3.470230e+06
2.205000e-04,3.477890e+06
2.210000e-04,3.485540e+06
2.215000e-04,3.493200e+06
2.220000e-04,3.500850e+06
2.225000e-04,3.508500e+06
2.230000e-04,3.516150e+06
2.235000e-04,3.523800e+06
2.240000e-04,3.531450e+06
2.245000e-04,3.539100e+06
2.250000e-04,3.546740e+06
2.255000e-04,3.554390e+06
2.260000e-04,3.562030e+06
2.265000e-04,3.569680e+06
2.270000e-04,3.577320e+06
2.275000e-04,3.584960e+06
2.280000e-04,3.592600e+06
2.285000e-04,3.600240e+06
2.290000e-04,3.607880e+06
2.295000e-04,3.615520e+06
2.300000e-04,3.623150e+06
2.305000e-04,3.630790e+06
2.310000e-04,3.638420e+06
2.315000e-04,3.646050e+06
2.320000e-04,3.653690e+06
2.325000e-04,3.661320e+06
2.330000e-04,3.668950e+06
2.335000e-04,3.676580e+06
2.340000e-04,3.684200e+06
2.345000e-04,3.691830e+06
2.350000e-04,3.699460e+06
2.355000e-04,3.707080e+06
2.360000e-04,3.714700e+06
2.365000e-04,3.722330e+06
2.370000e-04,3.729950e+06
2.375000e-04,3.737570e+06
2.380000e-04,3.745190e+06
2.385000e-04,3.752810e+06
2.390000e-04,3.760420e+06
2.395000e-04,3.768040e+06
2.400000e-04,3.775650e+06
2.405000e-04,3.783270e+06
2.410000e-04,3.790880e+06
2.415000e-04,3.798490e+06
2.420000e-04,3.806100e+06
2.425000e-04,3.813710e+06
2.430000e-04,3.821320e+06
2.435000e-04,3.828930e+06
2.440000e-04,3.836540e+06
2.445000e-04,3.844140e+06
2.450000e-04,3.851750e+06
2.455000e-04,3.859350e+06
2.460000e-04,3.866950e+06
2.465000e-04,3.874560e+06
2.470000e-04,3.882160e+06
2.475000e-04,3.889760e+06
2.480000e-04,3.897350e+06
2.485000e-04,3.904950e+06
2.490000e-04,3.912550e+06
2.495000e-04,3.920140e+06
2.500000e-04,3.927740e+06
2.505000e-04,3.935330e+06
2.510000e-04,3.942920e+06
2.515000e-04,3.950510e+06
2.520000e-04,3.958100e+06
2.525000e-04,3.965690e+06
2.530000e-04,3.973280e+06
2.535000e-04,3.980870e+06
2.540000e-04,3.988450e+06
2.545000e-04,3.996040e+06
2.550000e-04,4.003620e+06
2.555000e-04,4.011200e+06
2.560000e-04,4.018790e+06
2.565000e-04,4.026370e+06
2.570000e-04,4.033950e+06
2.575000e-04,4.041520e+06
2.580000e-04,4.049100e+06
2.585000e-04,4.056680e+06
2.590000e-04,4.064250e+06
2.595000e-04,4.071830e+06
