Displacement_mm,Axial_Force_N
9.950000e-05,2.692630e+06
1.000000e-04,2.705830e+06
1.005000e-04,2.719030e+06
1.010000e-04,2.732230e+06
1.015000e-04,2.745430e+06
1.020000e-04,2.758620e+06
1.025000e-04,2.771810e+06
1.030000e-04,2.784990e+06
1.035000e-04,2.798170e+06
1.040000e-04,2.811350e+06
1.045000e-04,2.824530e+06
1.050000e-04,2.837700e+06
1.055000e-04,2.850870e+06
1.060000e-04,2.864030e+06
1.065000e-04,2.877200e+06
1.070000e-04,2.890360e+06
1.075000e-04,2.903510e+06
1.080000e-04,2.916660e+06
1.085000e-04,2.929810e+06
1.090000e-04,2.942960e+06
1.095000e-04,2.956100e+06
1.100000e-04,2.969240e+06
1.105000e-04,2.982380e+06
1.110000e-04,2.995510e+06
1.115000e-04,3.008640e+06
1.120000e-04,3.021770e+06
1.125000e-04,3.034890e+06
1.130000e-04,3.048010e+06
1.135000e-04,3.061130e+06
1.140000e-04,3.074240e+06
1.145000e-04,3.087350e+06
1.150000e-04,3.100460e+06
1.155000e-04,3.113560e+06
1.160000e-04,3.126660e+06
1.165000e-04,3.139760e+06
1.170000e-04,3.152850e+06
1.175000e-04,3.165940e+06
1.180000e-04,3.179030e+06
1.185000e-04,3.192110e+06
1.190000e-04,3.205190e+06
1.195000e-04,3.218270e+06
1.200000e-04,3.231350e+06
1.205000e-04,3.244420e+06
1.210000e-04,3.257480e+06
1.215000e-04,3.270550e+06
1.220000e-04,3.283610e+06
1.225000e-04,3.296670e+06
1.230000e-04,3.309720e+06
1.235000e-04,3.322770e+06
1.240000e-04,3.335820e+06
1.245000e-04,3.348870e+06
1.250000e-04,3.361910e+06
1.255000e-04,3.374950e+06
1.260000e-04,3.387980e+06
1.265000e-04,3.401010e+06
1.270000e-04,3.414040e+06
1.275000e-04,3.427070e+06
1.280000e-04,3.440090e+06
1.285000e-04,3.453110e+06
1.290000e-04,3.466120e+06
1.295000e-04,3.479140e+06
1.300000e-04,3.492150e+06
1.305000e-04,3.505150e+06
1.310000e-04,3.518150e+06
1.315000e-04,3.531150e+06
1.320000e-04,3.544150e+06
1.325000e-04,3.557140e+06
1.330000e-04,3.570130e+06
1.335000e-04,3.583120e+06
1.340000e-04,3.596100e+06
1.345000e-04,3.609080e+06
1.350000e-04,3.622060e+06
1.355000e-04,3.635030e+06
1.360000e-04,3.648000e+06
1.365000e-04,3.660970e+06
1.370000e-04,3.673930e+06
1.375000e-04,3.686890e+06
1.380000e-04,3.699850e+06
1.385000e-04,3.712800e+06
1.390000e-04,3.725750e+06
1.395000e-04,3.738700e+06
1.400000e-04,3.751640e+06
1.405000e-04,3.764580e+06
1.410000e-04,3.777520e+06
1.415000e-04,3.790450e+06
1.420000e-04,3.803380e+06
1.425000e-04,3.816310e+06
1.430000e-04,3.829240e+06
1.435000e-04,3.842160e+06
1.440000e-04,3.855070e+06
1.445000e-04,3.867990e+06
1.450000e-04,3.880900e+06
1.455000e-04,3.893810e+06
1.460000e-04,3.906710e+06
1.465000e-04,3.919610e+06
1.470000e-04,3.932510e+06
1.475000e-04,3.945410e+06
1.480000e-04,3.958300e+06
1.485000e-04,3.971190e+06
1.490000e-04,3.984070e+06
1.495000e-04,3.996950e+06
1.500000e-04,4.009830e+06
1.505000e-04,4.022710e+06
1.510000e-04,4.035580e+06
1.515000e-04,4.048450e+06
1.520000e-04,4.061310e+06
1.525000e-04,4.074180e+06
1.530000e-04,4.087030e+06
1.535000e-04,4.099890e+06
1.540000e-04,4.112740e+06
1.545000e-04,4.125590e+06
1.550000e-04,4.138440e+06
1.555000e-04,4.151280e+06
1.560000e-04,4.164120e+06
1.565000e-04,4.176960e+06
1.570000e-04,4.189790e+06
1.575000e-04,4.202620e+06
1.580000e-04,4.215450e+06
1.585000e-04,4.228270e+06
1.590000e-04,4.241090e+06
1.595000e-04,4.253910e+06
1.600000e-04,4.266720e+06
1.605000e-04,4.279530e+06
1.610000e-04,4.292340e+06
1.615000e-04,4.305140e+06
1.620000e-04,4.317940e+06
1.625000e-04,4.330740e+06
1.630000e-04,4.343530e+06
1.635000e-04,4.356320e+06
1.640000e-04,4.369110e+06
1.645000e-04,4.381890e+06
1.650000e-04,4.394670e+06
1.655000e-04,4.407450e+06
1.660000e-04,4.420220e+06
1.665000e-04,4.433000e+06
1.670000e-04,4.445760e+06
1.675000e-04,4.458530e+06
1.680000e-04,4.471290e+06
