Strain_pct,Stress_fpc28_Unconfined,Stress_fpc28_Confined,Stress_fpc70_Unconfined,Stress_fpc70_Confined
7.135678e-01,-5.600000e+00,-4.474009e+01,-1.400000e+01,-5.810587e+01
7.236181e-01,-5.600000e+00,-4.488831e+01,-1.400000e+01,-5.669867e+01
7.336683e-01,-5.600000e+00,-4.502315e+01,-1.400000e+01,-5.529147e+01
7.437186e-01,-5.600000e+00,-4.514460e+01,-1.400000e+01,-5.388427e+01
7.537688e-01,-5.600000e+00,-4.525266e+01,-1.400000e+01,-5.247706e+01
7.638191e-01,-5.600000e+00,-4.534734e+01,-1.400000e+01,-5.106986e+01
7.738693e-01,-5.600000e+00,-4.542863e+01,-1.400000e+01,-4.966266e+01
7.839196e-01,-5.600000e+00,-4.549653e+01,-1.400000e+01,-4.825546e+01
7.939698e-01,-5.600000e+00,-4.555105e+01,-1.400000e+01,-4.684826e+01
8.040201e-01,-5.600000e+00,-4.559218e+01,-1.400000e+01,-4.544105e+01
8.140704e-01,-5.600000e+00,-4.561992e+01,-1.400000e+01,-4.403385e+01
8.241206e-01,-5.600000e+00,-4.563428e+01,-1.400000e+01,-4.262665e+01
8.341709e-01,-5.600000e+00,-4.537660e+01,-1.400000e+01,-4.121945e+01
8.442211e-01,-5.600000e+00,-4.476875e+01,-1.400000e+01,-3.981224e+01
8.542714e-01,-5.600000e+00,-4.416091e+01,-1.400000e+01,-3.840504e+01
8.643216e-01,-5.600000e+00,-4.355307e+01,-1.400000e+01,-3.699784e+01
8.743719e-01,-5.600000e+00,-4.294522e+01,-1.400000e+01,-3.559064e+01
8.844221e-01,-5.600000e+00,-4.233738e+01,-1.400000e+01,-3.418344e+01
8.944724e-01,-5.600000e+00,-4.172954e+01,-1.400000e+01,-3.277623e+01
9.045226e-01,-5.600000e+00,-4.112169e+01,-1.400000e+01,-3.136903e+01
9.145729e-01,-5.600000e+00,-4.051385e+01,-1.400000e+01,-2.996183e+01
9.246231e-01,-5.600000e+00,-3.990601e+01,-1.400000e+01,-2.855463e+01
9.346734e-01,-5.600000e+00,-3.929816e+01,-1.400000e+01,-2.714742e+01
9.447236e-01,-5.600000e+00,-3.869032e+01,-1.400000e+01,-2.574022e+01
9.547739e-01,-5.600000e+00,-3.808248e+01,-1.400000e+01,-2.433302e+01
9.648241e-01,-5.600000e+00,-3.747464e+01,-1.400000e+01,-2.292582e+01
9.748744e-01,-5.600000e+00,-3.686679e+01,-1.400000e+01,-2.151862e+01
9.849246e-01,-5.600000e+00,-3.625895e+01,-1.400000e+01,-2.011141e+01
9.949749e-01,-5.600000e+00,-3.565111e+01,-1.400000e+01,-1.870421e+01
1.005025e+00,-5.600000e+00,-3.504326e+01,-1.400000e+01,-1.800061e+01
1.015075e+00,-5.600000e+00,-3.443542e+01,-1.400000e+01,-1.800061e+01
1.025126e+00,-5.600000e+00,-3.382758e+01,-1.400000e+01,-1.800061e+01
1.035176e+00,-5.600000e+00,-3.321973e+01,-1.400000e+01,-1.800061e+01
1.045226e+00,-5.600000e+00,-3.261189e+01,-1.400000e+01,-1.800061e+01
1.055276e+00,-5.600000e+00,-3.200405e+01,-1.400000e+01,-1.800061e+01
1.065327e+00,-5.600000e+00,-3.139620e+01,-1.400000e+01,-1.800061e+01
1.075377e+00,-5.600000e+00,-3.078836e+01,-1.400000e+01,-1.800061e+01
1.085427e+00,-5.600000e+00,-3.018052e+01,-1.400000e+01,-1.800061e+01
1.095477e+00,-5.600000e+00,-2.957268e+01,-1.400000e+01,-1.800061e+01
1.105528e+00,-5.600000e+00,-2.896483e+01,-1.400000e+01,-1.800061e+01
1.115578e+00,-5.600000e+00,-2.835699e+01,-1.400000e+01,-1.800061e+01
1.125628e+00,-5.600000e+00,-2.774915e+01,-1.400000e+01,-1.800061e+01
1.135678e+00,-5.600000e+00,-2.714130e+01,-1.400000e+01,-1.800061e+01
1.145729e+00,-5.600000e+00,-2.653346e+01,-1.400000e+01,-1.800061e+01
1.155779e+00,-5.600000e+00,-2.592562e+01,-1.400000e+01,-1.800061e+01
1.165829e+00,-5.600000e+00,-2.531777e+01,-1.400000e+01,-1.800061e+01
1.175879e+00,-5.600000e+00,-2.470993e+01,-1.400000e+01,-1.800061e+01
1.185930e+00,-5.600000e+00,-2.410209e+01,-1.400000e+01,-1.800061e+01
1.195980e+00,-5.600000e+00,-2.349424e+01,-1.400000e+01,-1.800061e+01
1.206030e+00,-5.600000e+00,-2.288640e+01,-1.400000e+01,-1.800061e+01
1.216080e+00,-5.600000e+00,-2.227856e+01,-1.400000e+01,-1.800061e+01
1.226131e+00,-5.600000e+00,-2.167071e+01,-1.400000e+01,-1.800061e+01
1.236181e+00,-5.600000e+00,-2.106287e+01,-1.400000e+01,-1.800061e+01
1.246231e+00,-5.600000e+00,-2.045503e+01,-1.400000e+01,-1.800061e+01
1.256281e+00,-5.600000e+00,-1.984719e+01,-1.400000e+01,-1.800061e+01
1.266332e+00,-5.600000e+00,-1.923934e+01,-1.400000e+01,-1.800061e+01
1.276382e+00,-5.600000e+00,-1.863150e+01,-1.400000e+01,-1.800061e+01
1.286432e+00,-5.600000e+00,-1.802366e+01,-1.400000e+01,-1.800061e+01
1.296482e+00,-5.600000e+00,-1.741581e+01,-1.400000e+01,-1.800061e+01
1.306533e+00,-5.600000e+00,-1.680797e+01,-1.400000e+01,-1.800061e+01
1.316583e+00,-5.600000e+00,-1.620013e+01,-1.400000e+01,-1.800061e+01
1.326633e+00,-5.600000e+00,-1.559228e+01,-1.400000e+01,-1.800061e+01
1.336683e+00,-5.600000e+00,-1.498444e+01,-1.400000e+01,-1.800061e+01
1.346734e+00,-5.600000e+00,-1.437660e+01,-1.400000e+01,-1.800061e+01
1.356784e+00,-5.600000e+00,-1.376875e+01,-1.400000e+01,-1.800061e+01
1.366834e+00,-5.600000e+00,-1.316091e+01,-1.400000e+01,-1.800061e+01
1.376884e+00,-5.600000e+00,-1.255307e+01,-1.400000e+01,-1.800061e+01
1.386935e+00,-5.600000e+00,-1.194523e+01,-1.400000e+01,-1.800061e+01
1.396985e+00,-5.600000e+00,-1.133738e+01,-1.400000e+01,-1.800061e+01
1.407035e+00,-5.600000e+00,-1.072954e+01,-1.400000e+01,-1.800061e+01
1.417085e+00,-5.600000e+00,-1.012170e+01,-1.400000e+01,-1.800061e+01
1.427136e+00,-5.600000e+00,-9.513853e+00,-1.400000e+01,-1.800061e+01
1.437186e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.447236e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.457286e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.467337e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.477387e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.487437e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.497487e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.507538e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.517588e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.527638e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.537688e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.547739e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.557789e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.567839e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
