

28/03/2026 14:38:40




coba


P	Axial Strain	

60x60(4)	60x60(4)	
m4	m4	
N	strain	

0	0	
4.267E+6	-.2759E-3	
8.461E+6	-.5519E-3	
1.25E+7	-.8278E-3	
1.64E+7	-1.104E-3	
2.01E+7	-1.380E-3	
2.30E+7	-1.656E-3	
2.52E+7	-1.932E-3	
2.63E+7	-2.208E-3	
2.60E+7	-2.483E-3	
2.51E+7	-2.759E-3	
2.42E+7	-3.101E-3	
2.39E+7	-3.443E-3	
2.39E+7	-3.785E-3	
2.41E+7	-4.128E-3	
2.42E+7	-4.470E-3	
2.43E+7	-4.812E-3	
2.42E+7	-5.154E-3	
2.40E+7	-5.496E-3	
2.38E+7	-5.838E-3	
2.36E+7	-6.180E-3	
2.34E+7	-6.522E-3	
2.31E+7	-6.864E-3	
2.28E+7	-7.206E-3	
2.25E+7	-7.548E-3	
2.22E+7	-7.890E-3	
2.18E+7	-8.232E-3	
2.15E+7	-8.574E-3	
2.12E+7	-8.916E-3	
2.08E+7	-9.258E-3	
2.05E+7	-9.600E-3	
