

28/03/2026 14:38:40




coba


P	Axial Strain	

60x60	60x60	
m1	m1	
N	strain	

0	0	
2.827E+6	-.2800E-3	
5.410E+6	-.5600E-3	
7.690E+6	-.8400E-3	
9.645E+6	-1.120E-3	
1.13E+7	-1.400E-3	
1.27E+7	-1.680E-3	
1.38E+7	-1.960E-3	
1.45E+7	-2.240E-3	
1.49E+7	-2.520E-3	
1.52E+7	-2.800E-3	
1.54E+7	-3.080E-3	
1.56E+7	-3.360E-3	
1.57E+7	-3.640E-3	
1.58E+7	-3.920E-3	
1.57E+7	-4.200E-3	
1.55E+7	-4.480E-3	
1.53E+7	-4.760E-3	
1.51E+7	-5.040E-3	
1.49E+7	-5.320E-3	
1.46E+7	-5.600E-3	
1.44E+7	-5.880E-3	
1.43E+7	-6.160E-3	
1.43E+7	-6.440E-3	
1.44E+7	-6.720E-3	
1.44E+7	-7.000E-3	
1.44E+7	-7.280E-3	
1.44E+7	-7.560E-3	
1.44E+7	-7.840E-3	
1.44E+7	-8.120E-3	
1.45E+7	-8.400E-3	
