f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc35MPa = 53.73 MPa, ecc35MPa = 0.0074
f'cc42MPa = 61.26 MPa, ecc42MPa = 0.0066
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
2.387500e-03 1.659418e+04
2.400000e-03 1.660822e+04
2.412500e-03 1.662198e+04
2.425000e-03 1.663544e+04
2.437500e-03 1.664861e+04
2.450000e-03 1.666147e+04
2.462500e-03 1.667403e+04
2.475000e-03 1.668628e+04
2.487500e-03 1.669821e+04
2.500000e-03 1.670983e+04
2.512500e-03 1.672112e+04
2.525000e-03 1.673209e+04
2.537500e-03 1.674274e+04
2.550000e-03 1.675305e+04
2.562500e-03 1.676303e+04
2.575000e-03 1.677268e+04
2.587500e-03 1.678198e+04
2.600000e-03 1.679095e+04
2.612500e-03 1.679958e+04
2.625000e-03 1.680787e+04
2.637500e-03 1.681581e+04
2.650000e-03 1.682341e+04
2.662500e-03 1.683066e+04
2.675000e-03 1.683757e+04
2.687500e-03 1.684414e+04
2.700000e-03 1.685036e+04
2.712500e-03 1.685623e+04
2.725000e-03 1.686177e+04
2.737500e-03 1.686696e+04
2.750000e-03 1.687181e+04
2.762500e-03 1.687633e+04
2.775000e-03 1.688051e+04
2.787500e-03 1.688435e+04
2.800000e-03 1.688786e+04
2.812500e-03 1.689104e+04
2.825000e-03 1.689389e+04
2.837500e-03 1.689642e+04
2.850000e-03 1.689863e+04
2.862500e-03 1.690053e+04
2.875000e-03 1.690210e+04
2.887500e-03 1.690337e+04
2.900000e-03 1.690433e+04
2.912500e-03 1.690499e+04
2.925000e-03 1.690534e+04
2.937500e-03 1.690541e+04
2.950000e-03 1.690518e+04
2.962500e-03 1.690466e+04
2.975000e-03 1.690386e+04
2.987500e-03 1.690278e+04
3.000000e-03 1.690143e+04
3.012500e-03 1.689981e+04
3.025000e-03 1.689792e+04
3.037500e-03 1.689576e+04
3.050000e-03 1.689335e+04
3.062500e-03 1.689069e+04
3.075000e-03 1.688778e+04
3.087500e-03 1.688462e+04
3.100000e-03 1.688122e+04
3.112500e-03 1.687758e+04
3.125000e-03 1.687371e+04
3.137500e-03 1.686961e+04
3.150000e-03 1.686529e+04
3.162500e-03 1.686074e+04
3.175000e-03 1.685598e+04
3.187500e-03 1.685100e+04
3.200000e-03 1.684581e+04
3.212500e-03 1.684041e+04
3.225000e-03 1.683481e+04
3.237500e-03 1.682901e+04
3.250000e-03 1.682302e+04
3.262500e-03 1.681683e+04
3.275000e-03 1.681044e+04
3.287500e-03 1.680388e+04
3.300000e-03 1.679712e+04
3.312500e-03 1.679019e+04
3.325000e-03 1.678308e+04
3.337500e-03 1.677579e+04
3.350000e-03 1.676832e+04
3.362500e-03 1.676069e+04
3.375000e-03 1.675289e+04
3.387500e-03 1.674492e+04
3.400000e-03 1.673679e+04
3.412500e-03 1.672850e+04
3.425000e-03 1.672004e+04
3.437500e-03 1.671143e+04
3.450000e-03 1.670267e+04
3.462500e-03 1.669375e+04
3.475000e-03 1.668469e+04
3.487500e-03 1.667547e+04
3.500000e-03 1.666611e+04
3.512500e-03 1.665660e+04
3.525000e-03 1.664694e+04
3.537500e-03 1.663715e+04
3.550000e-03 1.662721e+04
3.562500e-03 1.661713e+04
3.575000e-03 1.660692e+04
3.587500e-03 1.659657e+04
3.600000e-03 1.658608e+04
3.612500e-03 1.657546e+04
3.625000e-03 1.656471e+04
3.637500e-03 1.655383e+04
3.650000e-03 1.654282e+04
3.662500e-03 1.653167e+04
3.675000e-03 1.652040e+04
3.687500e-03 1.650901e+04
3.700000e-03 1.649749e+04
3.712500e-03 1.648584e+04
3.725000e-03 1.647407e+04
3.737500e-03 1.646217e+04
3.750000e-03 1.645015e+04
3.762500e-03 1.643802e+04
3.775000e-03 1.642576e+04
3.787500e-03 1.641338e+04
3.800000e-03 1.640088e+04
3.812500e-03 1.638827e+04
3.825000e-03 1.637553e+04
3.837500e-03 1.636268e+04
3.850000e-03 1.634971e+04
3.862500e-03 1.633663e+04
3.875000e-03 1.632343e+04
3.887500e-03 1.631012e+04
3.900000e-03 1.629669e+04
3.912500e-03 1.628315e+04
3.925000e-03 1.626950e+04
3.937500e-03 1.625574e+04
3.950000e-03 1.624186e+04
3.962500e-03 1.622787e+04
3.975000e-03 1.621377e+04
3.987500e-03 1.619956e+04
4.000000e-03 1.618524e+04
4.012500e-03 1.620618e+04
4.025000e-03 1.622701e+04
4.037500e-03 1.624773e+04
4.050000e-03 1.626835e+04
4.062500e-03 1.628885e+04
4.075000e-03 1.630925e+04
4.087500e-03 1.632954e+04
4.100000e-03 1.634972e+04
4.112500e-03 1.636979e+04
4.125000e-03 1.638976e+04
4.137500e-03 1.640962e+04
4.150000e-03 1.642938e+04
4.162500e-03 1.644902e+04
4.175000e-03 1.646857e+04
4.187500e-03 1.648800e+04
4.200000e-03 1.650733e+04
4.212500e-03 1.652656e+04
4.225000e-03 1.654568e+04
4.237500e-03 1.656469e+04
4.250000e-03 1.658360e+04
4.262500e-03 1.660241e+04
4.275000e-03 1.662111e+04
4.287500e-03 1.663971e+04
4.300000e-03 1.665820e+04
