curvature_1_per_m,curvature_1_per_mm,moment_Nmm
4.829274994073346915e-20,4.829274994073347037e-23,-7.275957614183425903e-12
1.123304830891563768e-03,1.123304830891563856e-06,3.483975634346980369e+05
2.246609661783127536e-03,2.246609661783127712e-06,5.984593525522382697e+05
3.369914492674691738e-03,3.369914492674691568e-06,7.473909238476280589e+05
4.493219323566255072e-03,4.493219323566255424e-06,8.660727826708436478e+05
5.616524154457819273e-03,5.616524154457819280e-06,9.689955142208716134e+05
6.739828985349383475e-03,6.739828985349383136e-06,1.051581426503655501e+06
7.863133816240947677e-03,7.863133816240947839e-06,1.102172145634958753e+06
8.986438647132510144e-03,8.986438647132510848e-06,1.138034767863005167e+06
1.010974347802407435e-02,1.010974347802407386e-05,1.163894819672330981e+06
1.123304830891563681e-02,1.123304830891563687e-05,1.175367268734436249e+06
1.235635313980719928e-02,1.235635313980719988e-05,1.169054586845628452e+06
1.347965797069876348e-02,1.347965797069876288e-05,1.167986851210792316e+06
1.460296280159032595e-02,1.460296280159032589e-05,1.181861882058868650e+06
1.572626763248188841e-02,1.572626763248188890e-05,1.203711439212500816e+06
1.684957246337345088e-02,1.684957246337345191e-05,1.221894256491232431e+06
1.797287729426501335e-02,1.797287729426501492e-05,1.237779417364003370e+06
1.909618212515657928e-02,1.909618212515657793e-05,1.252552698291930603e+06
2.021948695604814175e-02,2.021948695604814094e-05,1.265869028505509254e+06
2.134279178693970422e-02,2.134279178693970395e-05,1.278978736081111245e+06
2.246609661783126669e-02,2.246609661783126696e-05,1.291288201672661584e+06
2.358940144872282915e-02,2.358940144872282997e-05,1.302160247877629707e+06
2.471270627961439162e-02,2.471270627961439297e-05,1.311541087829961441e+06
2.583601111050595756e-02,2.583601111050595598e-05,1.319901714035977609e+06
2.695931594139752002e-02,2.695931594139751899e-05,1.327427671290403698e+06
2.808262077228908249e-02,2.808262077228908200e-05,1.334098235250581987e+06
2.920592560318064496e-02,2.920592560318064501e-05,1.339749337407636922e+06
3.032923043407220742e-02,3.032923043407220802e-05,1.344477624405607348e+06
3.145253526496376989e-02,3.145253526496377103e-05,1.348843471963682212e+06
3.257584009585533236e-02,3.257584009585533404e-05,1.352890525799402269e+06
3.369914492674689482e-02,3.369914492674689705e-05,1.356636550076050684e+06
3.482244975763845729e-02,3.482244975763846006e-05,1.360362111838812241e+06
3.594575458853001976e-02,3.594575458853002306e-05,1.363860190021091374e+06
3.706905941942158916e-02,3.706905941942158607e-05,1.366216414401658345e+06
3.819236425031315163e-02,3.819236425031314908e-05,1.368098450915058842e+06
3.931566908120471410e-02,3.931566908120471209e-05,1.369779718267554883e+06
4.043897391209627656e-02,4.043897391209627510e-05,1.371254542476909934e+06
4.156227874298783903e-02,4.156227874298783811e-05,1.372507176955807023e+06
4.268558357387940150e-02,4.268558357387940112e-05,1.372912351855734130e+06
4.380888840477096396e-02,4.380888840477096413e-05,1.372724227043821244e+06
4.493219323566252643e-02,4.493219323566252714e-05,1.372358786324331304e+06
4.605549806655408890e-02,4.605549806655409015e-05,1.371818900604186347e+06
4.717880289744565137e-02,4.717880289744565315e-05,1.371097299121045275e+06
4.830210772833721383e-02,4.830210772833721616e-05,1.370552368110304698e+06
4.942541255922877630e-02,4.942541255922877917e-05,1.369557260204639751e+06
5.054871739012033877e-02,5.054871739012034218e-05,1.367802394782220246e+06
5.167202222101190817e-02,5.167202222101190519e-05,1.365924585287464550e+06
5.279532705190347064e-02,5.279532705190346820e-05,1.363918628054904519e+06
5.391863188279503311e-02,5.391863188279503121e-05,1.361778635230135173e+06
5.504193671368659557e-02,5.504193671368659422e-05,1.359497973063390702e+06
5.616524154457815804e-02,5.616524154457815723e-05,1.357069177666631760e+06
5.728854637546972051e-02,5.728854637546972024e-05,1.354404341576613253e+06
5.841185120636128297e-02,5.841185120636128324e-05,1.350912473499196349e+06
5.953515603725284544e-02,5.953515603725284625e-05,1.346888469584571663e+06
6.065846086814440791e-02,6.065846086814440926e-05,1.342724733019292587e+06
6.178176569903597731e-02,6.178176569903597905e-05,1.338413108767068479e+06
6.290507052992753978e-02,6.290507052992754206e-05,1.333944484946796903e+06
6.402837536081910919e-02,6.402837536081910507e-05,1.329822062823472545e+06
6.515168019171066471e-02,6.515168019171066807e-05,1.325618745445872191e+06
6.627498502260223412e-02,6.627498502260223108e-05,1.321155342757735401e+06
6.739828985349378965e-02,6.739828985349379409e-05,1.316483612453075591e+06
6.852159468438535905e-02,6.852159468438535710e-05,1.310664233413261361e+06
6.964489951527691458e-02,6.964489951527692011e-05,1.304451409912718460e+06
7.076820434616848399e-02,7.076820434616848312e-05,1.297994546137041179e+06
7.189150917706003951e-02,7.189150917706004613e-05,1.291255321021678159e+06
7.301481400795160892e-02,7.301481400795160914e-05,1.284183277466634987e+06
7.413811883884317833e-02,7.413811883884317215e-05,1.276711351827481529e+06
7.526142366973473385e-02,7.526142366973473516e-05,1.268811596835656324e+06
7.638472850062630326e-02,7.638472850062629816e-05,1.260313106804167619e+06
7.750803333151785879e-02,7.750803333151786117e-05,1.252265712843290064e+06
7.863133816240942819e-02,7.863133816240942418e-05,1.244659505397367757e+06
7.975464299330098372e-02,7.975464299330098719e-05,1.236883537869870430e+06
8.087794782419255313e-02,8.087794782419255020e-05,1.228998017182062846e+06
8.200125265508410866e-02,8.200125265508411321e-05,1.221813231749370694e+06
8.312455748597567806e-02,8.312455748597567622e-05,1.215165891500915866e+06
8.424786231686723359e-02,8.424786231686723923e-05,1.208054607788075693e+06
8.537116714775880300e-02,8.537116714775880224e-05,1.200610566502193222e+06
8.649447197865035852e-02,8.649447197865036525e-05,1.192812999622554984e+06
8.761777680954192793e-02,8.761777680954192825e-05,1.184601443759931950e+06
8.874108164043349734e-02,8.874108164043349126e-05,1.175882718649466988e+06
8.986438647132505286e-02,8.986438647132505427e-05,1.169857077336807270e+06
9.098769130221662227e-02,9.098769130221661728e-05,1.163512389851998771e+06
9.211099613310817780e-02,9.211099613310818029e-05,1.156783105646118056e+06
9.323430096399974720e-02,9.323430096399974330e-05,1.149590729135279544e+06
9.435760579489130273e-02,9.435760579489130631e-05,1.143122354946565814e+06
9.548091062578287214e-02,9.548091062578286932e-05,1.136433621074178722e+06
9.660421545667442766e-02,9.660421545667443233e-05,1.132834614884139271e+06
9.772752028756599707e-02,9.772752028756599534e-05,1.128708240308076376e+06
9.885082511845755260e-02,9.885082511845755834e-05,1.124302281193165574e+06
9.997412994934912200e-02,9.997412994934912135e-05,1.119574792570794933e+06
1.010974347802406775e-01,1.010974347802406844e-04,1.115607241638667183e+06
1.022207396111322469e-01,1.022207396111322474e-04,1.111545435503106331e+06
1.033440444420238163e-01,1.033440444420238104e-04,1.107240231070811162e+06
1.044673492729153719e-01,1.044673492729153734e-04,1.103778105276523391e+06
1.055906541038069413e-01,1.055906541038069364e-04,1.101806873710345011e+06
1.067139589346984968e-01,1.067139589346984994e-04,1.099792006301503628e+06
1.078372637655900662e-01,1.078372637655900624e-04,1.097732440441797487e+06
1.089605685964816217e-01,1.089605685964816254e-04,1.095623398651980329e+06
1.100838734273731911e-01,1.100838734273731884e-04,1.093448819209822686e+06
1.112071782582647467e-01,1.112071782582647514e-04,1.091177460128910374e+06
1.123304830891563161e-01,1.123304830891563145e-04,1.088822838473114651e+06
