curvature_1_per_m,curvature_1_per_mm,moment_Nmm
-5.094156980965535056e-20,-5.094156980965535244e-23,-2.910383045673370361e-11
1.123304830891563768e-03,1.123304830891563856e-06,2.869953157195730601e+05
2.246609661783127536e-03,2.246609661783127712e-06,5.032263104563012021e+05
3.369914492674691738e-03,3.369914492674691568e-06,6.365292150613947306e+05
4.493219323566255072e-03,4.493219323566255424e-06,7.449958239463706268e+05
5.616524154457819273e-03,5.616524154457819280e-06,8.400348812785057817e+05
6.739828985349383475e-03,6.739828985349383136e-06,9.137743231643033214e+05
7.863133816240947677e-03,7.863133816240947839e-06,9.601798197792689316e+05
8.986438647132510144e-03,8.986438647132510848e-06,9.978347397193241632e+05
1.010974347802407608e-02,1.010974347802407555e-05,1.025355282676755218e+06
1.123304830891564028e-02,1.123304830891564025e-05,1.037924120595652959e+06
1.235635313980720275e-02,1.235635313980720326e-05,1.033433759505495545e+06
1.347965797069876695e-02,1.347965797069876627e-05,1.048354607409179676e+06
1.460296280159032942e-02,1.460296280159032928e-05,1.073619186650425196e+06
1.572626763248189188e-02,1.572626763248189229e-05,1.098339332624970237e+06
1.684957246337345435e-02,1.684957246337345530e-05,1.117194290785692632e+06
1.797287729426501682e-02,1.797287729426501831e-05,1.133459488545079948e+06
1.909618212515658275e-02,1.909618212515658132e-05,1.147495800886244280e+06
2.021948695604814522e-02,2.021948695604814433e-05,1.161306431792079005e+06
2.134279178693970769e-02,2.134279178693970734e-05,1.174400575212480035e+06
2.246609661783127015e-02,2.246609661783127034e-05,1.186415356230104808e+06
2.358940144872283262e-02,2.358940144872283335e-05,1.197492063367855968e+06
2.471270627961439509e-02,2.471270627961439636e-05,1.207838601159125334e+06
2.583601111050596102e-02,2.583601111050595937e-05,1.216889524764730129e+06
2.695931594139752349e-02,2.695931594139752238e-05,1.224659101246247999e+06
2.808262077228908596e-02,2.808262077228908539e-05,1.231346280828749994e+06
2.920592560318064843e-02,2.920592560318064840e-05,1.237220435740708141e+06
3.032923043407221089e-02,3.032923043407221141e-05,1.242635508966399590e+06
3.145253526496377683e-02,3.145253526496377780e-05,1.247811928413710557e+06
3.257584009585533930e-02,3.257584009585534081e-05,1.252658550457238220e+06
3.369914492674690176e-02,3.369914492674690382e-05,1.257102175969208591e+06
3.482244975763846423e-02,3.482244975763846683e-05,1.261105963510802481e+06
3.594575458853002670e-02,3.594575458853002984e-05,1.264655903919306351e+06
3.706905941942159610e-02,3.706905941942159285e-05,1.268017891768062487e+06
3.819236425031315857e-02,3.819236425031315586e-05,1.271193066110859858e+06
3.931566908120472104e-02,3.931566908120471887e-05,1.274179370432306547e+06
4.043897391209628350e-02,4.043897391209628188e-05,1.276972792908340227e+06
