curvature_1_per_m,curvature_1_per_mm,moment_Nmm
7.419569115684463470e-20,7.419569115684463705e-23,-1.455191522836685181e-11
8.577964163171942309e-04,8.577964163171942385e-07,5.195743738221682142e+05
1.715592832634388245e-03,1.715592832634388265e-06,9.247276978867866565e+05
2.573389248951582584e-03,2.573389248951582398e-06,1.140941571308864979e+06
3.431185665268776490e-03,3.431185665268776531e-06,1.294485153954068664e+06
4.288982081585970829e-03,4.288982081585971087e-06,1.420127784915526863e+06
5.146778497903166036e-03,5.146778497903165643e-06,1.528849967662763316e+06
6.004574914220360375e-03,6.004574914220360199e-06,1.626191898185186321e+06
6.862371330537554714e-03,6.862371330537554755e-06,1.714923463465529028e+06
7.720167746854749054e-03,7.720167746854749311e-06,1.781341649759405991e+06
8.577964163171943393e-03,8.577964163171943867e-06,1.819255806923282100e+06
9.435760579489138600e-03,9.435760579489138424e-06,1.821465604025649838e+06
1.029355699580633381e-02,1.029355699580633298e-05,1.809534260420135455e+06
1.115135341212352728e-02,1.115135341212352754e-05,1.786624555967651075e+06
1.200914982844072249e-02,1.200914982844072209e-05,1.755234317859377014e+06
1.286694624475791596e-02,1.286694624475791665e-05,1.714923546393004945e+06
1.372474266107511116e-02,1.372474266107511120e-05,1.669186551863721805e+06
1.458253907739230637e-02,1.458253907739230576e-05,1.614511547011002200e+06
1.544033549370949811e-02,1.544033549370949862e-05,1.597154007550498703e+06
1.629813191002669331e-02,1.629813191002669318e-05,1.585377194981934736e+06
1.715592832634388679e-02,1.715592832634388773e-05,1.583721146113191498e+06
1.801372474266108373e-02,1.801372474266108229e-05,1.590204014519142453e+06
1.887152115897827720e-02,1.887152115897827685e-05,1.597280132496203762e+06
1.972931757529547067e-02,1.972931757529547140e-05,1.604255714170697378e+06
2.058711399161266761e-02,2.058711399161266596e-05,1.610569751456911676e+06
2.144491040792986108e-02,2.144491040792986052e-05,1.616300564612844260e+06
2.230270682424705456e-02,2.230270682424705507e-05,1.623202512661438435e+06
2.316050324056424803e-02,2.316050324056424963e-05,1.629759396478559822e+06
2.401829965688144497e-02,2.401829965688144418e-05,1.635800157521589659e+06
2.487609607319863844e-02,2.487609607319863874e-05,1.641298938803049037e+06
2.573389248951583191e-02,2.573389248951583330e-05,1.645931169184856117e+06
2.659168890583302886e-02,2.659168890583302785e-05,1.649221824577919906e+06
2.744948532215022233e-02,2.744948532215022241e-05,1.652564157542891568e+06
2.830728173846741580e-02,2.830728173846741696e-05,1.655357641729873605e+06
2.916507815478461274e-02,2.916507815478461152e-05,1.657735208370437147e+06
3.002287457110180621e-02,3.002287457110180608e-05,1.659749659383276245e+06
3.088067098741899622e-02,3.088067098741899725e-05,1.659971595522275427e+06
3.173846740373618969e-02,3.173846740373619180e-05,1.659872280329162255e+06
3.259626382005338663e-02,3.259626382005338636e-05,1.659957635622566799e+06
3.345406023637058357e-02,3.345406023637058091e-05,1.660498668905563420e+06
3.431185665268777357e-02,3.431185665268777547e-05,1.660778033685867209e+06
3.516965306900497051e-02,3.516965306900497003e-05,1.660775105457077036e+06
3.602744948532216746e-02,3.602744948532216458e-05,1.659701062914629234e+06
3.688524590163935746e-02,3.688524590163935914e-05,1.657785446438482497e+06
3.774304231795655440e-02,3.774304231795655369e-05,1.655568266692903824e+06
3.860083873427375134e-02,3.860083873427374825e-05,1.653026194792707218e+06
3.945863515059094134e-02,3.945863515059094281e-05,1.650141030907452339e+06
4.031643156690813828e-02,4.031643156690813736e-05,1.647198007322718389e+06
4.117422798322533523e-02,4.117422798322533192e-05,1.644495014508711640e+06
4.203202439954252523e-02,4.203202439954252647e-05,1.641024716793941800e+06
4.288982081585972217e-02,4.288982081585972103e-05,1.636246133815401932e+06
4.374761723217691217e-02,4.374761723217691559e-05,1.631419119431237690e+06
4.460541364849410911e-02,4.460541364849411014e-05,1.626512605070685269e+06
4.546321006481130605e-02,4.546321006481130470e-05,1.621357510342491791e+06
4.632100648112849606e-02,4.632100648112849926e-05,1.615934050775805954e+06
4.717880289744569300e-02,4.717880289744569381e-05,1.610219341310068266e+06
4.803659931376288994e-02,4.803659931376288837e-05,1.604186680311624659e+06
4.889439573008007994e-02,4.889439573008008292e-05,1.597804594523815904e+06
4.975219214639727688e-02,4.975219214639727748e-05,1.591587565919100773e+06
5.060998856271447383e-02,5.060998856271447204e-05,1.584669469610889675e+06
5.146778497903166383e-02,5.146778497903166659e-05,1.577477807326781796e+06
5.232558139534886077e-02,5.232558139534886115e-05,1.569906357394324616e+06
5.318337781166605771e-02,5.318337781166605570e-05,1.561937299482777016e+06
5.404117422798324771e-02,5.404117422798325026e-05,1.553462731581793632e+06
5.489897064430044465e-02,5.489897064430044482e-05,1.543577843803834403e+06
5.575676706061764160e-02,5.575676706061763937e-05,1.532449284468118101e+06
5.661456347693483160e-02,5.661456347693483393e-05,1.520163256111373659e+06
5.747235989325202854e-02,5.747235989325202849e-05,1.504147414272158407e+06
5.833015630956922548e-02,5.833015630956922304e-05,1.487475774296797113e+06
5.918795272588641548e-02,5.918795272588641760e-05,1.470465274068104336e+06
6.004574914220361243e-02,6.004574914220361215e-05,1.451201468643634580e+06
6.090354555852080937e-02,6.090354555852080671e-05,1.438659247452350333e+06
6.176134197483799243e-02,6.176134197483799449e-05,1.425719403698698618e+06
6.261913839115518243e-02,6.261913839115518905e-05,1.412097099950916134e+06
6.347693480747237937e-02,6.347693480747238360e-05,1.397695200146140996e+06
6.433473122378957632e-02,6.433473122378957816e-05,1.378142343205492245e+06
6.519252764010677326e-02,6.519252764010677271e-05,1.353602894458143739e+06
6.605032405642397020e-02,6.605032405642396727e-05,1.330301711010653293e+06
6.690812047274116714e-02,6.690812047274116183e-05,1.313799099440146238e+06
6.776591688905835020e-02,6.776591688905835638e-05,1.298817397713810205e+06
6.862371330537554714e-02,6.862371330537555094e-05,1.282110697891580872e+06
6.948150972169274409e-02,6.948150972169274550e-05,1.262878885665602982e+06
7.033930613800994103e-02,7.033930613800994005e-05,1.239042726731041446e+06
7.119710255432713797e-02,7.119710255432713461e-05,1.224946808141635265e+06
7.205489897064433491e-02,7.205489897064432916e-05,1.215384624204118038e+06
7.291269538696151797e-02,7.291269538696152372e-05,1.205404627598696388e+06
7.377049180327871492e-02,7.377049180327871828e-05,1.193734976460483158e+06
7.462828821959591186e-02,7.462828821959591283e-05,1.183132937493718695e+06
7.548608463591310880e-02,7.548608463591310739e-05,1.172198352805881295e+06
7.634388105223030574e-02,7.634388105223030194e-05,1.162616179001200479e+06
7.720167746854750268e-02,7.720167746854749650e-05,1.156407744799127337e+06
7.805947388486468574e-02,7.805947388486469106e-05,1.149791713238148950e+06
7.891727030118188269e-02,7.891727030118188561e-05,1.142656741120126564e+06
7.977506671749907963e-02,7.977506671749908017e-05,1.134824862167939311e+06
8.063286313381627657e-02,8.063286313381627473e-05,1.125990967411416350e+06
8.149065955013347351e-02,8.149065955013346928e-05,1.113407922601636732e+06
8.234845596645067045e-02,8.234845596645066384e-05,1.097419286125256680e+06
8.320625238276785351e-02,8.320625238276785839e-05,1.086187744223687798e+06
8.406404879908505046e-02,8.406404879908505295e-05,1.071300223725265125e+06
8.492184521540224740e-02,8.492184521540224751e-05,1.054242169710878283e+06
8.577964163171944434e-02,8.577964163171944206e-05,1.046527080902174232e+06
