curvature_1_per_m,curvature_1_per_mm,moment_Nmm
-3.222107823594859229e-20,-3.222107823594859370e-23,0.000000000000000000e+00
8.577964163171941225e-04,8.577964163171941326e-07,3.167094144365164684e+05
1.715592832634388245e-03,1.715592832634388265e-06,5.881109929656557506e+05
2.573389248951582584e-03,2.573389248951582398e-06,7.470766224677701248e+05
3.431185665268776490e-03,3.431185665268776531e-06,8.645020688629876822e+05
4.288982081585970829e-03,4.288982081585971087e-06,9.632934847553042928e+05
5.146778497903166036e-03,5.146778497903165643e-06,1.050787538296565181e+06
6.004574914220360375e-03,6.004574914220360199e-06,1.129631763729082653e+06
6.862371330537554714e-03,6.862371330537554755e-06,1.193507790769234765e+06
7.720167746854749054e-03,7.720167746854749311e-06,1.233684821570658591e+06
8.577964163171943393e-03,8.577964163171943867e-06,1.252179182852785802e+06
9.435760579489138600e-03,9.435760579489138424e-06,1.256831676825903822e+06
1.029355699580633381e-02,1.029355699580633298e-05,1.248233203238445334e+06
1.115135341212352728e-02,1.115135341212352754e-05,1.229455999805097934e+06
1.200914982844072249e-02,1.200914982844072209e-05,1.202802944739719620e+06
1.286694624475791596e-02,1.286694624475791665e-05,1.171545080764144892e+06
1.372474266107511116e-02,1.372474266107511120e-05,1.157550537193362135e+06
1.458253907739230637e-02,1.458253907739230576e-05,1.152538630857459735e+06
1.544033549370949811e-02,1.544033549370949862e-05,1.159425679595303023e+06
1.629813191002669331e-02,1.629813191002669318e-05,1.169278919885523384e+06
1.715592832634388679e-02,1.715592832634388773e-05,1.178968789234791184e+06
1.801372474266108373e-02,1.801372474266108229e-05,1.187751682473978028e+06
1.887152115897827720e-02,1.887152115897827685e-05,1.196340556851156987e+06
1.972931757529547067e-02,1.972931757529547140e-05,1.204328926020522136e+06
2.058711399161266761e-02,2.058711399161266596e-05,1.211241210364257218e+06
2.144491040792986108e-02,2.144491040792986052e-05,1.217296711206995649e+06
2.230270682424705456e-02,2.230270682424705507e-05,1.223159071440049680e+06
2.316050324056424803e-02,2.316050324056424963e-05,1.229005872997924918e+06
2.401829965688144497e-02,2.401829965688144418e-05,1.234482355523106176e+06
2.487609607319863844e-02,2.487609607319863874e-05,1.239294641367521370e+06
2.573389248951583191e-02,2.573389248951583330e-05,1.243347263019732432e+06
2.659168890583302886e-02,2.659168890583302785e-05,1.247183429137162631e+06
2.744948532215022233e-02,2.744948532215022241e-05,1.250809019161140081e+06
2.830728173846741580e-02,2.830728173846741696e-05,1.254623237650706200e+06
2.916507815478461274e-02,2.916507815478461152e-05,1.258330247849256033e+06
3.002287457110180621e-02,3.002287457110180608e-05,1.261841847637871047e+06
3.088067098741899622e-02,3.088067098741899725e-05,1.265152945274145575e+06
3.173846740373618969e-02,3.173846740373619180e-05,1.268251611966335448e+06
3.259626382005338663e-02,3.259626382005338636e-05,1.271112477350611473e+06
3.345406023637058357e-02,3.345406023637058091e-05,1.272926821884772740e+06
3.431185665268777357e-02,3.431185665268777547e-05,1.273813565913198516e+06
3.516965306900497051e-02,3.516965306900497003e-05,1.274525871762863128e+06
3.602744948532216746e-02,3.602744948532216458e-05,1.275057513707960257e+06
3.688524590163935746e-02,3.688524590163935914e-05,1.275545795642007841e+06
3.774304231795655440e-02,3.774304231795655369e-05,1.276152455596253974e+06
3.860083873427375134e-02,3.860083873427374825e-05,1.275862455547391670e+06
3.945863515059094134e-02,3.945863515059094281e-05,1.274733334110235563e+06
4.031643156690813828e-02,4.031643156690813736e-05,1.273456842588456813e+06
4.117422798322533523e-02,4.117422798322533192e-05,1.272017483629279537e+06
4.203202439954252523e-02,4.203202439954252647e-05,1.270421243763688253e+06
4.288982081585972217e-02,4.288982081585972103e-05,1.268660716236967826e+06
4.374761723217691217e-02,4.374761723217691559e-05,1.266727718244048767e+06
4.460541364849410911e-02,4.460541364849411014e-05,1.264162064132164698e+06
4.546321006481130605e-02,4.546321006481130470e-05,1.260436398234520573e+06
4.632100648112849606e-02,4.632100648112849926e-05,1.256548810660994845e+06
4.717880289744569300e-02,4.717880289744569381e-05,1.252489064940154087e+06
4.803659931376288994e-02,4.803659931376288837e-05,1.248780262661975343e+06
4.889439573008007994e-02,4.889439573008008292e-05,1.245026035725017311e+06
4.975219214639727688e-02,4.975219214639727748e-05,1.241111588156376034e+06
5.060998856271447383e-02,5.060998856271447204e-05,1.237026711945955874e+06
5.146778497903166383e-02,5.146778497903166659e-05,1.232745383351319935e+06
5.232558139534886077e-02,5.232558139534886115e-05,1.226819271595422179e+06
5.318337781166605771e-02,5.318337781166605570e-05,1.220665070729892002e+06
5.404117422798324771e-02,5.404117422798325026e-05,1.213879661381970625e+06
5.489897064430044465e-02,5.489897064430044482e-05,1.206853169162329752e+06
5.575676706061764160e-02,5.575676706061763937e-05,1.199256340781086823e+06
5.661456347693483160e-02,5.661456347693483393e-05,1.191007693810032913e+06
5.747235989325202854e-02,5.747235989325202849e-05,1.182161552846777951e+06
5.833015630956922548e-02,5.833015630956922304e-05,1.173527990077299532e+06
5.918795272588641548e-02,5.918795272588641760e-05,1.162188400623251917e+06
6.004574914220361243e-02,6.004574914220361215e-05,1.149935576403225772e+06
6.090354555852080937e-02,6.090354555852080671e-05,1.137277652687271591e+06
6.176134197483799243e-02,6.176134197483799449e-05,1.127324577564255334e+06
6.261913839115518243e-02,6.261913839115518905e-05,1.116792341202761047e+06
