curvature_1_per_m,curvature_1_per_mm,moment_Nmm
4.082104809256359320e-20,4.082104809256359377e-23,2.910383045673370361e-11
1.123304830891563768e-03,1.123304830891563856e-06,6.749246341688418761e+05
2.246609661783127536e-03,2.246609661783127712e-06,1.069915023639617721e+06
3.369914492674691738e-03,3.369914492674691568e-06,1.285338881963663502e+06
4.493219323566255072e-03,4.493219323566255424e-06,1.448375272756061750e+06
5.616524154457819273e-03,5.616524154457819280e-06,1.584850435674302513e+06
6.739828985349383475e-03,6.739828985349383136e-06,1.704283533553675283e+06
7.863133816240947677e-03,7.863133816240947839e-06,1.794854298642482376e+06
8.986438647132510144e-03,8.986438647132510848e-06,1.844116964774376946e+06
1.010974347802407435e-02,1.010974347802407386e-05,1.861295755819869228e+06
1.123304830891563681e-02,1.123304830891563687e-05,1.860372576619011583e+06
1.235635313980719928e-02,1.235635313980719988e-05,1.840692141733934870e+06
1.347965797069876348e-02,1.347965797069876288e-05,1.802427081476554042e+06
1.460296280159032595e-02,1.460296280159032589e-05,1.744432746590781491e+06
1.572626763248188841e-02,1.572626763248188890e-05,1.728989680175994989e+06
1.684957246337345088e-02,1.684957246337345191e-05,1.719718732129475567e+06
1.797287729426501335e-02,1.797287729426501492e-05,1.731731186984763481e+06
1.909618212515657928e-02,1.909618212515657793e-05,1.744266144067453919e+06
2.021948695604814175e-02,2.021948695604814094e-05,1.755067873516975669e+06
2.134279178693970422e-02,2.134279178693970395e-05,1.763456675752974581e+06
2.246609661783126669e-02,2.246609661783126696e-05,1.772204342395166634e+06
2.358940144872282915e-02,2.358940144872282997e-05,1.779259803514678497e+06
2.471270627961439162e-02,2.471270627961439297e-05,1.784915797773278784e+06
2.583601111050595756e-02,2.583601111050595598e-05,1.788459656194799347e+06
2.695931594139752002e-02,2.695931594139751899e-05,1.791430976052993443e+06
2.808262077228908249e-02,2.808262077228908200e-05,1.793694473794848192e+06
2.920592560318064496e-02,2.920592560318064501e-05,1.794964575774301775e+06
3.032923043407220742e-02,3.032923043407220802e-05,1.794879398295731051e+06
3.145253526496376989e-02,3.145253526496377103e-05,1.793287239568352001e+06
3.257584009585533236e-02,3.257584009585533404e-05,1.791717425735198660e+06
3.369914492674689482e-02,3.369914492674689705e-05,1.790721126747435192e+06
3.482244975763845729e-02,3.482244975763846006e-05,1.789351346327460604e+06
3.594575458853001976e-02,3.594575458853002306e-05,1.787311157851893688e+06
3.706905941942158916e-02,3.706905941942158607e-05,1.783630707382347202e+06
3.819236425031315163e-02,3.819236425031314908e-05,1.779529146245465381e+06
3.931566908120471410e-02,3.931566908120471209e-05,1.774974890355049865e+06
4.043897391209627656e-02,4.043897391209627510e-05,1.769821154876978602e+06
4.156227874298783903e-02,4.156227874298783811e-05,1.765063569652638631e+06
4.268558357387940150e-02,4.268558357387940112e-05,1.759738549434932647e+06
4.380888840477096396e-02,4.380888840477096413e-05,1.751792985568875214e+06
4.493219323566252643e-02,4.493219323566252714e-05,1.743105458931163186e+06
4.605549806655408890e-02,4.605549806655409015e-05,1.734159260065300157e+06
4.717880289744565137e-02,4.717880289744565315e-05,1.725309014215994393e+06
4.830210772833721383e-02,4.830210772833721616e-05,1.715947124465548666e+06
4.942541255922877630e-02,4.942541255922877917e-05,1.706020020102971001e+06
5.054871739012033877e-02,5.054871739012034218e-05,1.695819428137628129e+06
5.167202222101190817e-02,5.167202222101190519e-05,1.684935620490403613e+06
5.279532705190347064e-02,5.279532705190346820e-05,1.673645748466084944e+06
5.391863188279503311e-02,5.391863188279503121e-05,1.661765777843451593e+06
5.504193671368659557e-02,5.504193671368659422e-05,1.649149645852020709e+06
5.616524154457815804e-02,5.616524154457815723e-05,1.634871723701900803e+06
5.728854637546972051e-02,5.728854637546972024e-05,1.618008100814532489e+06
5.841185120636128297e-02,5.841185120636128324e-05,1.597028977299962426e+06
5.953515603725284544e-02,5.953515603725284625e-05,1.572652871330296854e+06
6.065846086814440791e-02,6.065846086814440926e-05,1.547048334155592602e+06
6.178176569903597731e-02,6.178176569903597905e-05,1.520716301060205325e+06
6.290507052992753978e-02,6.290507052992754206e-05,1.501491532463456271e+06
6.402837536081910919e-02,6.402837536081910507e-05,1.480978726583176758e+06
6.515168019171066471e-02,6.515168019171066807e-05,1.454891496782255592e+06
6.627498502260223412e-02,6.627498502260223108e-05,1.419447472594608320e+06
6.739828985349378965e-02,6.739828985349379409e-05,1.394870439646721585e+06
6.852159468438535905e-02,6.852159468438535710e-05,1.373068072685900144e+06
6.964489951527691458e-02,6.964489951527692011e-05,1.347672923591103870e+06
7.076820434616848399e-02,7.076820434616848312e-05,1.315734546059065266e+06
7.189150917706003951e-02,7.189150917706004613e-05,1.292509885648740456e+06
7.301481400795160892e-02,7.301481400795160914e-05,1.277758699639860541e+06
7.413811883884317833e-02,7.413811883884317215e-05,1.261760099729602691e+06
7.526142366973473385e-02,7.526142366973473516e-05,1.247955308056073496e+06
7.638472850062630326e-02,7.638472850062629816e-05,1.234029385852682870e+06
7.750803333151785879e-02,7.750803333151786117e-05,1.226082098627971485e+06
7.863133816240942819e-02,7.863133816240942418e-05,1.217644491004748270e+06
7.975464299330098372e-02,7.975464299330098719e-05,1.208616370466282358e+06
8.087794782419255313e-02,8.087794782419255020e-05,1.198849452346482081e+06
8.200125265508410866e-02,8.200125265508411321e-05,1.187999370207102038e+06
8.312455748597567806e-02,8.312455748597567622e-05,1.173345037571925204e+06
8.424786231686723359e-02,8.424786231686723923e-05,1.165028822152249515e+06
8.537116714775880300e-02,8.537116714775880224e-05,1.154838442939572735e+06
8.649447197865035852e-02,8.649447197865036525e-05,1.139842832842973992e+06
8.761777680954192793e-02,8.761777680954192825e-05,1.122000497898644302e+06
8.874108164043349734e-02,8.874108164043349126e-05,1.110281960115015507e+06
8.986438647132505286e-02,8.986438647132505427e-05,1.105266690709422342e+06
9.098769130221662227e-02,9.098769130221661728e-05,1.100816758551955689e+06
9.211099613310817780e-02,9.211099613310818029e-05,1.095970442571892403e+06
9.323430096399974720e-02,9.323430096399974330e-05,1.090723135882198811e+06
9.435760579489130273e-02,9.435760579489130631e-05,1.083113915301214671e+06
9.548091062578287214e-02,9.548091062578286932e-05,1.074561389543274418e+06
9.660421545667442766e-02,9.660421545667443233e-05,1.064956794742191443e+06
9.772752028756599707e-02,9.772752028756599534e-05,1.054248105088650249e+06
9.885082511845755260e-02,9.885082511845755834e-05,1.049215107750237919e+06
9.997412994934912200e-02,9.997412994934912135e-05,1.043309231895467499e+06
1.010974347802406775e-01,1.010974347802406844e-04,1.035933781658705673e+06
1.022207396111322469e-01,1.022207396111322474e-04,1.029219070396079565e+06
1.033440444420238163e-01,1.033440444420238104e-04,1.022591806832186645e+06
1.044673492729153719e-01,1.044673492729153734e-04,1.013654805054160766e+06
1.055906541038069413e-01,1.055906541038069364e-04,9.949938050836077891e+05
1.067139589346984968e-01,1.067139589346984994e-04,9.907918546298402362e+05
1.078372637655900662e-01,1.078372637655900624e-04,9.892531401899571065e+05
1.089605685964816217e-01,1.089605685964816254e-04,9.876496941062198021e+05
1.100838734273731911e-01,1.100838734273731884e-04,9.850482183215508703e+05
1.112071782582647467e-01,1.112071782582647514e-04,9.823562393968293909e+05
1.123304830891563161e-01,1.123304830891563145e-04,9.795923154223430902e+05
