Axial_Strain Axial_Load(kN)
2.487500e-03 2.590934e+04
2.500000e-03 2.590407e+04
2.512500e-03 2.589841e+04
2.525000e-03 2.589239e+04
2.537500e-03 2.588599e+04
2.550000e-03 2.587923e+04
2.562500e-03 2.587211e+04
2.575000e-03 2.586464e+04
2.587500e-03 2.585681e+04
2.600000e-03 2.584864e+04
2.612500e-03 2.584013e+04
2.625000e-03 2.583127e+04
2.637500e-03 2.582208e+04
2.650000e-03 2.581256e+04
2.662500e-03 2.580271e+04
2.675000e-03 2.579253e+04
2.687500e-03 2.578204e+04
2.700000e-03 2.577122e+04
2.712500e-03 2.576008e+04
2.725000e-03 2.574863e+04
2.737500e-03 2.573686e+04
2.750000e-03 2.572479e+04
2.762500e-03 2.571241e+04
2.775000e-03 2.569972e+04
2.787500e-03 2.568673e+04
2.800000e-03 2.567344e+04
2.812500e-03 2.565985e+04
2.825000e-03 2.564596e+04
2.837500e-03 2.563177e+04
2.850000e-03 2.561729e+04
2.862500e-03 2.560252e+04
2.875000e-03 2.558745e+04
2.887500e-03 2.557210e+04
2.900000e-03 2.555645e+04
2.912500e-03 2.554052e+04
2.925000e-03 2.552430e+04
2.937500e-03 2.550780e+04
2.950000e-03 2.549101e+04
2.962500e-03 2.547394e+04
2.975000e-03 2.545658e+04
2.987500e-03 2.543895e+04
3.000000e-03 2.542103e+04
3.012500e-03 2.540283e+04
3.025000e-03 2.538436e+04
3.037500e-03 2.536561e+04
3.050000e-03 2.534657e+04
3.062500e-03 2.532727e+04
3.075000e-03 2.530768e+04
3.087500e-03 2.528783e+04
3.100000e-03 2.526769e+04
3.112500e-03 2.524728e+04
3.125000e-03 2.522660e+04
3.137500e-03 2.520565e+04
3.150000e-03 2.518442e+04
3.162500e-03 2.516292e+04
3.175000e-03 2.514114e+04
3.187500e-03 2.511910e+04
3.200000e-03 2.509679e+04
3.212500e-03 2.507420e+04
3.225000e-03 2.505134e+04
3.237500e-03 2.502822e+04
3.250000e-03 2.500482e+04
3.262500e-03 2.498116e+04
3.275000e-03 2.495722e+04
3.287500e-03 2.493302e+04
3.300000e-03 2.490855e+04
3.312500e-03 2.488381e+04
3.325000e-03 2.485880e+04
3.337500e-03 2.483353e+04
3.350000e-03 2.480798e+04
3.362500e-03 2.478217e+04
3.375000e-03 2.475610e+04
3.387500e-03 2.472975e+04
3.400000e-03 2.470314e+04
3.412500e-03 2.467626e+04
3.425000e-03 2.464912e+04
3.437500e-03 2.462171e+04
3.450000e-03 2.459403e+04
3.462500e-03 2.456609e+04
3.475000e-03 2.453788e+04
3.487500e-03 2.450941e+04
3.500000e-03 2.448067e+04
3.512500e-03 2.445167e+04
3.525000e-03 2.442240e+04
3.537500e-03 2.439286e+04
3.550000e-03 2.436306e+04
3.562500e-03 2.433300e+04
3.575000e-03 2.430267e+04
3.587500e-03 2.427207e+04
3.600000e-03 2.424121e+04
3.612500e-03 2.421009e+04
3.625000e-03 2.417870e+04
3.637500e-03 2.414705e+04
3.650000e-03 2.411513e+04
3.662500e-03 2.408295e+04
3.675000e-03 2.405050e+04
3.687500e-03 2.401779e+04
3.700000e-03 2.398481e+04
3.712500e-03 2.395158e+04
3.725000e-03 2.391807e+04
3.737500e-03 2.388431e+04
3.750000e-03 2.385028e+04
3.762500e-03 2.381598e+04
3.775000e-03 2.378143e+04
3.787500e-03 2.374660e+04
3.800000e-03 2.371152e+04
3.812500e-03 2.367617e+04
3.825000e-03 2.364056e+04
3.837500e-03 2.360468e+04
3.850000e-03 2.356854e+04
3.862500e-03 2.353214e+04
3.875000e-03 2.349547e+04
3.887500e-03 2.345854e+04
3.900000e-03 2.342135e+04
3.912500e-03 2.338389e+04
3.925000e-03 2.334617e+04
3.937500e-03 2.330819e+04
3.950000e-03 2.326994e+04
3.962500e-03 2.323143e+04
3.975000e-03 2.319266e+04
3.987500e-03 2.315362e+04
4.000000e-03 2.311432e+04
4.012500e-03 2.313371e+04
4.025000e-03 2.315284e+04
4.037500e-03 2.317171e+04
4.050000e-03 2.319031e+04
4.062500e-03 2.320865e+04
4.075000e-03 2.322673e+04
4.087500e-03 2.324454e+04
4.100000e-03 2.326209e+04
4.112500e-03 2.327938e+04
4.125000e-03 2.329640e+04
4.137500e-03 2.331316e+04
4.150000e-03 2.332966e+04
4.162500e-03 2.334590e+04
4.175000e-03 2.336187e+04
4.187500e-03 2.337758e+04
4.200000e-03 2.339303e+04
4.212500e-03 2.340821e+04
4.225000e-03 2.342313e+04
4.237500e-03 2.343779e+04
4.250000e-03 2.345218e+04
4.262500e-03 2.346632e+04
4.275000e-03 2.348018e+04
4.287500e-03 2.349379e+04
4.300000e-03 2.350713e+04
4.312500e-03 2.352022e+04
4.325000e-03 2.353303e+04
4.337500e-03 2.354559e+04
4.350000e-03 2.355788e+04
4.362500e-03 2.356991e+04
4.375000e-03 2.358168e+04
4.387500e-03 2.359318e+04
4.400000e-03 2.360442e+04
4.412500e-03 2.361540e+04
4.425000e-03 2.362611e+04
4.437500e-03 2.363657e+04
4.450000e-03 2.364676e+04
4.462500e-03 2.365668e+04
4.475000e-03 2.366635e+04
4.487500e-03 2.367575e+04
4.500000e-03 2.368489e+04
4.512500e-03 2.369377e+04
4.525000e-03 2.370238e+04
4.537500e-03 2.371073e+04
4.550000e-03 2.371882e+04
4.562500e-03 2.372664e+04
4.575000e-03 2.373421e+04
4.587500e-03 2.374151e+04
4.600000e-03 2.374854e+04
4.612500e-03 2.375532e+04
4.625000e-03 2.376183e+04
4.637500e-03 2.376808e+04
4.650000e-03 2.377406e+04
4.662500e-03 2.377979e+04
4.675000e-03 2.378525e+04
4.687500e-03 2.379045e+04
4.700000e-03 2.379538e+04
4.712500e-03 2.380005e+04
4.725000e-03 2.380446e+04
4.737500e-03 2.380861e+04
4.750000e-03 2.381250e+04
4.762500e-03 2.381612e+04
4.775000e-03 2.381948e+04
4.787500e-03 2.382257e+04
4.800000e-03 2.382541e+04
4.812500e-03 2.382798e+04
4.825000e-03 2.383029e+04
4.837500e-03 2.383233e+04
4.850000e-03 2.383412e+04
4.862500e-03 2.383564e+04
4.875000e-03 2.383690e+04
4.887500e-03 2.383789e+04
4.900000e-03 2.383862e+04
4.912500e-03 2.383909e+04
4.925000e-03 2.383832e+04
4.937500e-03 2.381818e+04
4.950000e-03 2.379804e+04
4.962500e-03 2.377791e+04
4.975000e-03 2.375777e+04
4.987500e-03 2.373763e+04
5.000000e-03 2.371750e+04
5.012500e-03 2.369736e+04
5.025000e-03 2.367722e+04
5.037500e-03 2.365709e+04
5.050000e-03 2.363695e+04
5.062500e-03 2.361681e+04
5.075000e-03 2.359668e+04
5.087500e-03 2.357654e+04
5.100000e-03 2.355640e+04
5.112500e-03 2.353627e+04
5.125000e-03 2.351613e+04
5.137500e-03 2.349599e+04
5.150000e-03 2.347586e+04
5.162500e-03 2.345572e+04
5.175000e-03 2.343558e+04
5.187500e-03 2.341545e+04
5.200000e-03 2.339531e+04
5.212500e-03 2.337517e+04
5.225000e-03 2.335503e+04
5.237500e-03 2.333490e+04
5.250000e-03 2.331476e+04
5.262500e-03 2.329462e+04
5.275000e-03 2.327449e+04
5.287500e-03 2.325435e+04
5.300000e-03 2.323421e+04
5.312500e-03 2.321408e+04
5.325000e-03 2.319394e+04
5.337500e-03 2.317380e+04
5.350000e-03 2.315366e+04
5.362500e-03 2.313353e+04
5.375000e-03 2.311339e+04
5.387500e-03 2.309325e+04
5.400000e-03 2.307311e+04
5.412500e-03 2.305298e+04
5.425000e-03 2.303284e+04
5.437500e-03 2.301270e+04
5.450000e-03 2.299257e+04
5.462500e-03 2.297243e+04
5.475000e-03 2.295229e+04
5.487500e-03 2.293215e+04
5.500000e-03 2.291202e+04
5.512500e-03 2.289188e+04
5.525000e-03 2.287174e+04
