Axial_Strain Axial_Load(kN)
1.250000e-05 9.818779e+01
2.500000e-05 1.960360e+02
3.750000e-05 2.935446e+02
5.000000e-05 3.907137e+02
6.250000e-05 4.875432e+02
7.500000e-05 5.840331e+02
8.750000e-05 6.801835e+02
1.000000e-04 7.759943e+02
1.125000e-04 8.714655e+02
1.250000e-04 9.665972e+02
1.375000e-04 1.061389e+03
1.500000e-04 1.155842e+03
1.625000e-04 1.249955e+03
1.750000e-04 1.343728e+03
1.875000e-04 1.437162e+03
2.000000e-04 1.530256e+03
2.125000e-04 1.623011e+03
2.250000e-04 1.715426e+03
2.375000e-04 1.807501e+03
2.500000e-04 1.899237e+03
2.625000e-04 1.990634e+03
2.750000e-04 2.081690e+03
2.875000e-04 2.172408e+03
3.000000e-04 2.262785e+03
3.125000e-04 2.352823e+03
3.250000e-04 2.442522e+03
3.375000e-04 2.531881e+03
3.500000e-04 2.620900e+03
3.625000e-04 2.709580e+03
3.750000e-04 2.797920e+03
3.875000e-04 2.885921e+03
4.000000e-04 2.973582e+03
4.125000e-04 3.060904e+03
4.250000e-04 3.147886e+03
4.375000e-04 3.234528e+03
4.500000e-04 3.320831e+03
4.625000e-04 3.406794e+03
4.750000e-04 3.492418e+03
4.875000e-04 3.577702e+03
5.000000e-04 3.662646e+03
5.125000e-04 3.747251e+03
5.250000e-04 3.831517e+03
5.375000e-04 3.915443e+03
5.500000e-04 3.999029e+03
5.625000e-04 4.082276e+03
5.750000e-04 4.165183e+03
5.875000e-04 4.247750e+03
6.000000e-04 4.329978e+03
6.125000e-04 4.411866e+03
6.250000e-04 4.493415e+03
6.375000e-04 4.574624e+03
6.500000e-04 4.655494e+03
6.625000e-04 4.736024e+03
6.750000e-04 4.816214e+03
6.875000e-04 4.896065e+03
7.000000e-04 4.975576e+03
7.125000e-04 5.054747e+03
7.250000e-04 5.133579e+03
7.375000e-04 5.212071e+03
7.500000e-04 5.290224e+03
7.625000e-04 5.368037e+03
7.750000e-04 5.445510e+03
7.875000e-04 5.522643e+03
8.000000e-04 5.599436e+03
8.125000e-04 5.675890e+03
8.250000e-04 5.752004e+03
8.375000e-04 5.827778e+03
8.500000e-04 5.903212e+03
8.625000e-04 5.978306e+03
8.750000e-04 6.053060e+03
8.875000e-04 6.127474e+03
9.000000e-04 6.201548e+03
9.125000e-04 6.275282e+03
9.250000e-04 6.348675e+03
9.375000e-04 6.421728e+03
9.500000e-04 6.494441e+03
9.625000e-04 6.566812e+03
9.750000e-04 6.638843e+03
9.875000e-04 6.710533e+03
1.000000e-03 6.781882e+03
1.012500e-03 6.852890e+03
1.025000e-03 6.923556e+03
1.037500e-03 6.993881e+03
1.050000e-03 7.063863e+03
1.062500e-03 7.133503e+03
1.075000e-03 7.202801e+03
1.087500e-03 7.271756e+03
1.100000e-03 7.340368e+03
1.112500e-03 7.408636e+03
1.125000e-03 7.476560e+03
1.137500e-03 7.544139e+03
1.150000e-03 7.611374e+03
1.162500e-03 7.678263e+03
1.175000e-03 7.744806e+03
1.187500e-03 7.811002e+03
1.200000e-03 7.876850e+03
1.212500e-03 7.942350e+03
1.225000e-03 8.007501e+03
1.237500e-03 8.072301e+03
1.250000e-03 8.136751e+03
1.262500e-03 8.200848e+03
1.275000e-03 8.264592e+03
1.287500e-03 8.327981e+03
1.300000e-03 8.391014e+03
1.312500e-03 8.453690e+03
1.325000e-03 8.516006e+03
1.337500e-03 8.577962e+03
1.350000e-03 8.639556e+03
1.362500e-03 8.700784e+03
1.375000e-03 8.761647e+03
1.387500e-03 8.822140e+03
1.400000e-03 8.882262e+03
1.412500e-03 8.942010e+03
1.425000e-03 9.001381e+03
1.437500e-03 9.060374e+03
1.450000e-03 9.118983e+03
1.462500e-03 9.177207e+03
1.475000e-03 9.235041e+03
1.487500e-03 9.292482e+03
1.500000e-03 9.349527e+03
1.512500e-03 9.406170e+03
1.525000e-03 9.462407e+03
1.537500e-03 9.518235e+03
1.550000e-03 9.573648e+03
1.562500e-03 9.628640e+03
1.575000e-03 9.683208e+03
1.587500e-03 9.737344e+03
1.600000e-03 9.791043e+03
1.612500e-03 9.844300e+03
1.625000e-03 9.897108e+03
1.637500e-03 9.949459e+03
1.650000e-03 1.000135e+04
1.662500e-03 1.005277e+04
1.675000e-03 1.010371e+04
1.687500e-03 1.015417e+04
1.700000e-03 1.020414e+04
1.712500e-03 1.025360e+04
1.725000e-03 1.030256e+04
1.737500e-03 1.035100e+04
1.750000e-03 1.039892e+04
1.762500e-03 1.044631e+04
1.775000e-03 1.049316e+04
1.787500e-03 1.053945e+04
1.800000e-03 1.058519e+04
1.812500e-03 1.063037e+04
1.825000e-03 1.067497e+04
1.837500e-03 1.071899e+04
1.850000e-03 1.076241e+04
1.862500e-03 1.080524e+04
1.875000e-03 1.084747e+04
1.887500e-03 1.088909e+04
1.900000e-03 1.093008e+04
1.912500e-03 1.097045e+04
1.925000e-03 1.101019e+04
1.937500e-03 1.104929e+04
1.950000e-03 1.108776e+04
1.962500e-03 1.112557e+04
1.975000e-03 1.116274e+04
1.987500e-03 1.119925e+04
2.000000e-03 1.123511e+04
2.012500e-03 1.124687e+04
2.025000e-03 1.125827e+04
2.037500e-03 1.126930e+04
2.050000e-03 1.127997e+04
2.062500e-03 1.129027e+04
2.075000e-03 1.130021e+04
2.087500e-03 1.130978e+04
2.100000e-03 1.131899e+04
2.112500e-03 1.132785e+04
2.125000e-03 1.133635e+04
2.137500e-03 1.134449e+04
2.150000e-03 1.135229e+04
2.162500e-03 1.135975e+04
2.175000e-03 1.136687e+04
2.187500e-03 1.137366e+04
2.200000e-03 1.138012e+04
2.212500e-03 1.138627e+04
2.225000e-03 1.139210e+04
2.237500e-03 1.139762e+04
2.250000e-03 1.140284e+04
2.262500e-03 1.140777e+04
2.275000e-03 1.141241e+04
2.287500e-03 1.141678e+04
2.300000e-03 1.142087e+04
2.312500e-03 1.142469e+04
2.325000e-03 1.142826e+04
2.337500e-03 1.143158e+04
2.350000e-03 1.143466e+04
2.362500e-03 1.143750e+04
2.375000e-03 1.144011e+04
2.387500e-03 1.144249e+04
2.400000e-03 1.144467e+04
2.412500e-03 1.144663e+04
2.425000e-03 1.144839e+04
2.437500e-03 1.144996e+04
2.450000e-03 1.145133e+04
2.462500e-03 1.145252e+04
2.475000e-03 1.145354e+04
2.487500e-03 1.145438e+04
2.500000e-03 1.145505e+04
2.512500e-03 1.145556e+04
2.525000e-03 1.145592e+04
2.537500e-03 1.145612e+04
2.550000e-03 1.145618e+04
2.562500e-03 1.145609e+04
2.575000e-03 1.145587e+04
2.587500e-03 1.145551e+04
2.600000e-03 1.145502e+04
2.612500e-03 1.145441e+04
2.625000e-03 1.145368e+04
2.637500e-03 1.145282e+04
2.650000e-03 1.145185e+04
2.662500e-03 1.145077e+04
2.675000e-03 1.144958e+04
2.687500e-03 1.144829e+04
2.700000e-03 1.144689e+04
2.712500e-03 1.144539e+04
2.725000e-03 1.144379e+04
2.737500e-03 1.144210e+04
2.750000e-03 1.144031e+04
2.762500e-03 1.143844e+04
2.775000e-03 1.143648e+04
2.787500e-03 1.143443e+04
2.800000e-03 1.143229e+04
2.812500e-03 1.143007e+04
2.825000e-03 1.142777e+04
2.837500e-03 1.142540e+04
2.850000e-03 1.142294e+04
2.862500e-03 1.142041e+04
2.875000e-03 1.141780e+04
2.887500e-03 1.141513e+04
2.900000e-03 1.141237e+04
2.912500e-03 1.140955e+04
2.925000e-03 1.140666e+04
2.937500e-03 1.140370e+04
2.950000e-03 1.140068e+04
2.962500e-03 1.139758e+04
2.975000e-03 1.139442e+04
2.987500e-03 1.139120e+04
3.000000e-03 1.138791e+04
3.012500e-03 1.138457e+04
3.025000e-03 1.138115e+04
3.037500e-03 1.137768e+04
3.050000e-03 1.137415e+04
3.062500e-03 1.137056e+04
3.075000e-03 1.136691e+04
3.087500e-03 1.136320e+04
3.100000e-03 1.135943e+04
3.112500e-03 1.135560e+04
3.125000e-03 1.135172e+04
3.137500e-03 1.134778e+04
3.150000e-03 1.134379e+04
3.162500e-03 1.133974e+04
3.175000e-03 1.133564e+04
3.187500e-03 1.133148e+04
3.200000e-03 1.132727e+04
3.212500e-03 1.132300e+04
3.225000e-03 1.131868e+04
3.237500e-03 1.131431e+04
3.250000e-03 1.130989e+04
3.262500e-03 1.130541e+04
3.275000e-03 1.130088e+04
3.287500e-03 1.129630e+04
3.300000e-03 1.129167e+04
3.312500e-03 1.128698e+04
3.325000e-03 1.128225e+04
3.337500e-03 1.127746e+04
3.350000e-03 1.127263e+04
3.362500e-03 1.126774e+04
3.375000e-03 1.126281e+04
3.387500e-03 1.125782e+04
3.400000e-03 1.125278e+04
