curvature_1_per_m,curvature_1_per_mm,moment_Nmm
1.848738042881311663e-19,1.848738042881311656e-22,9.094947017729282379e-11
1.123304830891563985e-03,1.123304830891564068e-06,4.113973470095578232e+05
2.246609661783127536e-03,2.246609661783127712e-06,6.938577199334783945e+05
3.369914492674691738e-03,3.369914492674691568e-06,8.570379500080610160e+05
4.493219323566255072e-03,4.493219323566255424e-06,9.854111138960628305e+05
5.616524154457819273e-03,5.616524154457819280e-06,1.095741490717778215e+06
6.739828985349383475e-03,6.739828985349383136e-06,1.188100310661257710e+06
7.863133816240947677e-03,7.863133816240947839e-06,1.245251338207084453e+06
8.986438647132510144e-03,8.986438647132510848e-06,1.280008874452544143e+06
1.010974347802407435e-02,1.010974347802407386e-05,1.304333221644768491e+06
1.123304830891563681e-02,1.123304830891563687e-05,1.314000895766421687e+06
1.235635313980719928e-02,1.235635313980719988e-05,1.304710400745206513e+06
1.347965797069876348e-02,1.347965797069876288e-05,1.286832571366706863e+06
1.460296280159032595e-02,1.460296280159032589e-05,1.291476693758643465e+06
1.572626763248188841e-02,1.572626763248188890e-05,1.307428227163004223e+06
1.684957246337345088e-02,1.684957246337345191e-05,1.324325529542283388e+06
1.797287729426501335e-02,1.797287729426501492e-05,1.339135217887787148e+06
1.909618212515657928e-02,1.909618212515657793e-05,1.353573188746787142e+06
2.021948695604814175e-02,2.021948695604814094e-05,1.367549469794860110e+06
2.134279178693970422e-02,2.134279178693970395e-05,1.380202404495439492e+06
2.246609661783126669e-02,2.246609661783126696e-05,1.392098048134134151e+06
2.358940144872282915e-02,2.358940144872282997e-05,1.402859599206063896e+06
2.471270627961439162e-02,2.471270627961439297e-05,1.412047728225073544e+06
2.583601111050595756e-02,2.583601111050595598e-05,1.419167691316332202e+06
2.695931594139752002e-02,2.695931594139751899e-05,1.425038364009289769e+06
2.808262077228908249e-02,2.808262077228908200e-05,1.430632891047850484e+06
2.920592560318064496e-02,2.920592560318064501e-05,1.435886897293684538e+06
3.032923043407220742e-02,3.032923043407220802e-05,1.440703618736552307e+06
3.145253526496376989e-02,3.145253526496377103e-05,1.445096693030760856e+06
3.257584009585533236e-02,3.257584009585533404e-05,1.449088817578869406e+06
3.369914492674689482e-02,3.369914492674689705e-05,1.451272345070342766e+06
3.482244975763845729e-02,3.482244975763846006e-05,1.452568094621690223e+06
3.594575458853001976e-02,3.594575458853002306e-05,1.453538402161915088e+06
3.706905941942158916e-02,3.706905941942158607e-05,1.454449065159215592e+06
3.819236425031315163e-02,3.819236425031314908e-05,1.455222839411232155e+06
3.931566908120471410e-02,3.931566908120471209e-05,1.454005062454430852e+06
4.043897391209627656e-02,4.043897391209627510e-05,1.452513203901040833e+06
4.156227874298783903e-02,4.156227874298783811e-05,1.450723220150232082e+06
4.268558357387940150e-02,4.268558357387940112e-05,1.448639093259889865e+06
4.380888840477096396e-02,4.380888840477096413e-05,1.446249070321454899e+06
4.493219323566252643e-02,4.493219323566252714e-05,1.442610338397678919e+06
4.605549806655408890e-02,4.605549806655409015e-05,1.437740210703588324e+06
4.717880289744565137e-02,4.717880289744565315e-05,1.432570301733905682e+06
4.830210772833721383e-02,4.830210772833721616e-05,1.427745666731150355e+06
4.942541255922877630e-02,4.942541255922877917e-05,1.422819112938831793e+06
5.054871739012033877e-02,5.054871739012034218e-05,1.417606127419443335e+06
5.167202222101190817e-02,5.167202222101190519e-05,1.411852331762675662e+06
5.279532705190347064e-02,5.279532705190346820e-05,1.404098812188840704e+06
5.391863188279503311e-02,5.391863188279503121e-05,1.395674074846476316e+06
5.504193671368659557e-02,5.504193671368659422e-05,1.386592298272531480e+06
5.616524154457815804e-02,5.616524154457815723e-05,1.376543905756100779e+06
5.728854637546972051e-02,5.728854637546972024e-05,1.365477696137427585e+06
5.841185120636128297e-02,5.841185120636128324e-05,1.354173636048037093e+06
5.953515603725284544e-02,5.953515603725284625e-05,1.339405736266185762e+06
6.065846086814440791e-02,6.065846086814440926e-05,1.322993256631817203e+06
6.178176569903597731e-02,6.178176569903597905e-05,1.308672359438448679e+06
6.290507052992753978e-02,6.290507052992754206e-05,1.295001611929007107e+06
6.402837536081910919e-02,6.402837536081910507e-05,1.280569268964289455e+06
6.515168019171066471e-02,6.515168019171066807e-05,1.264513729045883520e+06
6.627498502260223412e-02,6.627498502260223108e-05,1.240972905482131755e+06
6.739828985349378965e-02,6.739828985349379409e-05,1.223090325131994672e+06
6.852159468438535905e-02,6.852159468438535710e-05,1.209673590834461385e+06
6.964489951527691458e-02,6.964489951527692011e-05,1.195186216266782722e+06
7.076820434616848399e-02,7.076820434616848312e-05,1.179348863204730442e+06
7.189150917706003951e-02,7.189150917706004613e-05,1.163978571064611897e+06
7.301481400795160892e-02,7.301481400795160914e-05,1.150502392898869002e+06
7.413811883884317833e-02,7.413811883884317215e-05,1.136998957564165583e+06
7.526142366973473385e-02,7.526142366973473516e-05,1.127593499482220970e+06
7.638472850062630326e-02,7.638472850062629816e-05,1.118186285754957469e+06
7.750803333151785879e-02,7.750803333151786117e-05,1.110553279203858459e+06
7.863133816240942819e-02,7.863133816240942418e-05,1.106597931186951697e+06
7.975464299330098372e-02,7.975464299330098719e-05,1.102382643057937734e+06
8.087794782419255313e-02,8.087794782419255020e-05,1.097835233217790723e+06
8.200125265508410866e-02,8.200125265508411321e-05,1.093019733292109100e+06
8.312455748597567806e-02,8.312455748597567622e-05,1.087376754869990516e+06
8.424786231686723359e-02,8.424786231686723923e-05,1.080108053503608564e+06
8.537116714775880300e-02,8.537116714775880224e-05,1.074572122723591281e+06
8.649447197865035852e-02,8.649447197865036525e-05,1.071439392140679527e+06
8.761777680954192793e-02,8.761777680954192825e-05,1.068005588969303994e+06
8.874108164043349734e-02,8.874108164043349126e-05,1.064271839999694843e+06
8.986438647132505286e-02,8.986438647132505427e-05,1.060262993231478147e+06
9.098769130221662227e-02,9.098769130221661728e-05,1.055819847362747183e+06
9.211099613310817780e-02,9.211099613310818029e-05,1.050565730466490611e+06
9.323430096399974720e-02,9.323430096399974330e-05,1.043848793909354717e+06
9.435760579489130273e-02,9.435760579489130631e-05,1.041874778371505672e+06
9.548091062578287214e-02,9.548091062578286932e-05,1.040007683819647995e+06
9.660421545667442766e-02,9.660421545667443233e-05,1.036203205477278796e+06
9.772752028756599707e-02,9.772752028756599534e-05,1.026067328991363873e+06
9.885082511845755260e-02,9.885082511845755834e-05,1.021615951639120700e+06
9.997412994934912200e-02,9.997412994934912135e-05,1.017315475008121342e+06
1.010974347802406775e-01,1.010974347802406844e-04,1.013152118965006899e+06
1.022207396111322469e-01,1.022207396111322474e-04,1.009670278946685721e+06
1.033440444420238163e-01,1.033440444420238104e-04,1.008667930221166695e+06
1.044673492729153719e-01,1.044673492729153734e-04,1.007410991284804535e+06
1.055906541038069413e-01,1.055906541038069364e-04,1.005923781511260313e+06
1.067139589346984968e-01,1.067139589346984994e-04,1.004216923869780032e+06
1.078372637655900662e-01,1.078372637655900624e-04,1.002260047184348223e+06
1.089605685964816217e-01,1.089605685964816254e-04,1.000013182020419161e+06
1.100838734273731911e-01,1.100838734273731884e-04,9.974225788967768895e+05
1.112071782582647467e-01,1.112071782582647514e-04,9.945915127074499615e+05
1.123304830891563161e-01,1.123304830891563145e-04,9.899194237575826701e+05
