f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
2.437500e-03 2.645367e+04
2.450000e-03 2.646212e+04
2.462500e-03 2.647010e+04
2.475000e-03 2.647761e+04
2.487500e-03 2.648465e+04
2.500000e-03 2.649120e+04
2.512500e-03 2.649727e+04
2.525000e-03 2.650285e+04
2.537500e-03 2.650794e+04
2.550000e-03 2.651254e+04
2.562500e-03 2.651664e+04
2.575000e-03 2.652024e+04
2.587500e-03 2.652334e+04
2.600000e-03 2.652594e+04
2.612500e-03 2.652803e+04
2.625000e-03 2.652962e+04
2.637500e-03 2.653071e+04
2.650000e-03 2.653128e+04
2.662500e-03 2.653135e+04
2.675000e-03 2.653091e+04
2.687500e-03 2.652997e+04
2.700000e-03 2.652851e+04
2.712500e-03 2.652655e+04
2.725000e-03 2.652408e+04
2.737500e-03 2.652111e+04
2.750000e-03 2.651764e+04
2.762500e-03 2.651366e+04
2.775000e-03 2.650918e+04
2.787500e-03 2.650421e+04
2.800000e-03 2.649874e+04
2.812500e-03 2.649277e+04
2.825000e-03 2.648632e+04
2.837500e-03 2.647938e+04
2.850000e-03 2.647195e+04
2.862500e-03 2.646405e+04
2.875000e-03 2.645567e+04
2.887500e-03 2.644681e+04
2.900000e-03 2.643748e+04
2.912500e-03 2.642769e+04
2.925000e-03 2.641743e+04
2.937500e-03 2.640672e+04
2.950000e-03 2.639555e+04
2.962500e-03 2.638393e+04
2.975000e-03 2.637187e+04
2.987500e-03 2.635936e+04
3.000000e-03 2.634641e+04
3.012500e-03 2.633303e+04
3.025000e-03 2.631923e+04
3.037500e-03 2.630499e+04
3.050000e-03 2.629034e+04
3.062500e-03 2.627526e+04
3.075000e-03 2.625978e+04
3.087500e-03 2.624389e+04
3.100000e-03 2.622759e+04
3.112500e-03 2.621089e+04
3.125000e-03 2.619380e+04
3.137500e-03 2.617631e+04
3.150000e-03 2.615843e+04
3.162500e-03 2.614017e+04
3.175000e-03 2.612153e+04
3.187500e-03 2.610251e+04
3.200000e-03 2.608312e+04
3.212500e-03 2.606336e+04
3.225000e-03 2.604323e+04
3.237500e-03 2.602273e+04
3.250000e-03 2.600188e+04
3.262500e-03 2.598067e+04
3.275000e-03 2.595911e+04
3.287500e-03 2.593719e+04
3.300000e-03 2.591493e+04
3.312500e-03 2.589232e+04
3.325000e-03 2.586937e+04
3.337500e-03 2.584608e+04
3.350000e-03 2.582246e+04
3.362500e-03 2.579850e+04
3.375000e-03 2.577421e+04
3.387500e-03 2.574959e+04
3.400000e-03 2.572464e+04
3.412500e-03 2.569937e+04
3.425000e-03 2.567378e+04
3.437500e-03 2.564786e+04
3.450000e-03 2.562163e+04
3.462500e-03 2.559509e+04
3.475000e-03 2.556822e+04
3.487500e-03 2.554105e+04
3.500000e-03 2.551356e+04
3.512500e-03 2.548577e+04
3.525000e-03 2.545767e+04
3.537500e-03 2.542926e+04
3.550000e-03 2.540055e+04
3.562500e-03 2.537154e+04
3.575000e-03 2.534223e+04
3.587500e-03 2.531261e+04
3.600000e-03 2.528270e+04
3.612500e-03 2.525249e+04
3.625000e-03 2.522199e+04
3.637500e-03 2.519119e+04
3.650000e-03 2.516010e+04
3.662500e-03 2.512871e+04
3.675000e-03 2.509704e+04
3.687500e-03 2.506507e+04
3.700000e-03 2.503281e+04
3.712500e-03 2.500027e+04
3.725000e-03 2.496744e+04
3.737500e-03 2.493433e+04
3.750000e-03 2.490092e+04
3.762500e-03 2.486724e+04
3.775000e-03 2.483327e+04
3.787500e-03 2.479901e+04
3.800000e-03 2.476448e+04
3.812500e-03 2.472966e+04
3.825000e-03 2.469456e+04
3.837500e-03 2.465919e+04
3.850000e-03 2.462353e+04
3.862500e-03 2.458759e+04
3.875000e-03 2.455138e+04
3.887500e-03 2.451488e+04
3.900000e-03 2.447811e+04
3.912500e-03 2.444107e+04
3.925000e-03 2.440374e+04
3.937500e-03 2.436614e+04
3.950000e-03 2.432827e+04
3.962500e-03 2.429012e+04
3.975000e-03 2.425170e+04
3.987500e-03 2.421300e+04
4.000000e-03 2.417403e+04
4.012500e-03 2.419374e+04
4.025000e-03 2.421318e+04
4.037500e-03 2.423235e+04
4.050000e-03 2.425124e+04
4.062500e-03 2.426986e+04
4.075000e-03 2.428821e+04
4.087500e-03 2.430629e+04
4.100000e-03 2.432410e+04
4.112500e-03 2.434164e+04
4.125000e-03 2.435891e+04
4.137500e-03 2.437591e+04
4.150000e-03 2.439264e+04
4.162500e-03 2.440910e+04
4.175000e-03 2.442529e+04
4.187500e-03 2.444121e+04
4.200000e-03 2.445686e+04
4.212500e-03 2.447224e+04
4.225000e-03 2.448736e+04
4.237500e-03 2.450220e+04
4.250000e-03 2.451678e+04
4.262500e-03 2.453109e+04
4.275000e-03 2.454514e+04
4.287500e-03 2.455891e+04
4.300000e-03 2.457242e+04
4.312500e-03 2.458566e+04
4.325000e-03 2.459864e+04
4.337500e-03 2.461134e+04
4.350000e-03 2.462378e+04
4.362500e-03 2.463596e+04
4.375000e-03 2.464787e+04
4.387500e-03 2.465951e+04
4.400000e-03 2.467088e+04
4.412500e-03 2.468199e+04
4.425000e-03 2.469284e+04
4.437500e-03 2.470341e+04
4.450000e-03 2.471372e+04
4.462500e-03 2.472377e+04
4.475000e-03 2.473355e+04
4.487500e-03 2.474307e+04
4.500000e-03 2.475232e+04
4.512500e-03 2.476130e+04
4.525000e-03 2.477002e+04
4.537500e-03 2.477847e+04
4.550000e-03 2.478666e+04
4.562500e-03 2.479459e+04
4.575000e-03 2.480225e+04
4.587500e-03 2.480964e+04
4.600000e-03 2.481677e+04
